,School Year,Building Code,DBN,Location Name,Location Code,Major N,Oth N,NoCrim N,Prop N,Vio N,TotalCrimes
5122,2015-16,M166,03M166,P.S. 166 The Richard Rodgers School of The Arts an,M166,0.0,0.0,0.0,0.0,0.0,0.0
5123,2015-16,M167,02M167,J.H.S. 167 Robert F. Wagner,M167,0.0,0.0,1.0,0.0,0.0,1.0
5124,2015-16,M169,75M169,P.S. M169 - Robert F. Kennedy,M169,2.0,6.0,2.0,1.0,6.0,17.0
5125,2015-16,M171,04M171,P.S. 171 Patrick Henry,M171,,,,,,0.0
5126,2015-16,M171,04M964,Central Park East II,M964,,,,,,0.0
5127,2015-16,M171,,19 EAST 103 STREET CONSOLIDATED LOCATION,,0.0,3.0,5.0,2.0,1.0,11.0
5128,2015-16,M173,06M173,P.S. 173,M173,,,,,,0.0
5129,2015-16,M173,06M349,Harbor Heights,M349,,,,,,0.0
5130,2015-16,M173,,306 FORT WASHINGTON AVENUE CONSOLIDATED LOCATION,,0.0,0.0,0.0,0.0,0.0,0.0
5131,2015-16,M175,05M175,P.S. 175 Henry H Garnet,M175,0.0,3.0,2.0,2.0,1.0,8.0
5132,2015-16,M176,06M311,Amistad Dual Language School,M311,,,,,,0.0
5133,2015-16,M176,06M314,Muscota,M314,,,,,,0.0
5134,2015-16,M176,,4862 BROADWAY CONSOLIDATED LOCATION,,0.0,0.0,0.0,0.0,0.0,0.0
5135,2015-16,M178,06M178,Professor Juan Bosch Public School,M178,0.0,1.0,0.0,1.0,0.0,2.0
5136,2015-16,M180,03M180,P.S. 180 Hugo Newman,M180,0.0,1.0,0.0,1.0,0.0,2.0
5137,2015-16,M183,02M183,P.S. 183 Robert L. Stevenson,M183,0.0,0.0,0.0,0.0,0.0,0.0
5138,2015-16,M185,03M185,P.S. 185 - The Early Childhood Discovery and Desig,M185,0.0,1.0,1.0,1.0,0.0,3.0
5139,2015-16,M187,06M187,P.S./I.S. 187 Hudson Cliffs,M187,0.0,0.0,1.0,0.0,0.0,1.0
5140,2015-16,M188,01M188,P.S. 188 The Island School,M188,1.0,3.0,3.0,1.0,3.0,11.0
5141,2015-16,M189,06M189,P.S. 189,M189,0.0,0.0,0.0,0.0,0.0,0.0
5142,2015-16,M190,02M290,P.S. 290 Manhattan New School,M290,0.0,0.0,1.0,0.0,0.0,1.0
5143,2015-16,M191,03M191,P.S. 191 Amsterdam,M191,1.0,0.0,4.0,1.0,0.0,6.0
5144,2015-16,M192,06M192,P.S. 192 Jacob H. Schiff,M192,,,,,,0.0
5145,2015-16,M192,06M209,Hamilton Grange Middle School,M209,,,,,,0.0
5146,2015-16,M192,06M325,P.S. 325,M325,,,,,,0.0
5147,2015-16,M192,,500 WEST 138 STREET CONSOLIDATED LOCATION,,1.0,2.0,2.0,3.0,0.0,8.0
5148,2015-16,M194,05M194,P.S. 194 Countee Cullen,M194,,,,,,0.0
5149,2015-16,M276,75M094,P.S. M094,M094,,,,,,0.0
5150,2015-16,M194,84M709,HARLEM VILLAGE ACADEMY CHARTER SCHOOL,M709,,,,,,0.0
5151,2015-16,M194,,244 WEST 144 STREET CONSOLIDATED LOCATION,,4.0,2.0,1.0,4.0,2.0,13.0
5152,2015-16,M195,05M514,New Design Middle School,M514,0.0,1.0,4.0,1.0,0.0,6.0
5153,2015-16,M197,05M197,P.S. 197 John B. Russwurm,M197,1.0,0.0,0.0,1.0,0.0,2.0
5154,2015-16,M263,06M366,Washington Heights Academy,M366,0.0,0.0,0.0,0.0,0.0,0.0
5155,2015-16,M198,02M077,P.S. 77 Lower Lab School,M077,,,,,,0.0
5156,2015-16,M198,02M198,P.S. 198 Isador E. Ida Straus,M198,,,,,,0.0
5157,2015-16,M198,,1700 3 AVENUE CONSOLIDATED LOCATION,,0.0,1.0,0.0,1.0,0.0,2.0
5158,2015-16,M199,03M199,P.S. 199 Jessie Isador Straus,M199,0.0,0.0,0.0,0.0,0.0,0.0
5159,2015-16,M200,05M200,P.S. 200- The James Mccune Smith School,M200,0.0,0.0,1.0,0.0,0.0,1.0
5160,2015-16,M206,04M037,River East Elementary,M037,,,,,,0.0
5161,2015-16,M206,04M206,P.S. 206 Jose Celso Barbosa,M206,,,,,,0.0
5162,2015-16,M206,,508 EAST 120 STREET CONSOLIDATED LOCATION,,1.0,0.0,6.0,1.0,0.0,8.0
5163,2015-16,M207,03M149,P.S. 149 Sojourner Truth,M149,0.0,1.0,2.0,0.0,1.0,4.0
5164,2015-16,M208,03M208,P.S. 208 Alain L. Locke,M208,0.0,1.0,2.0,1.0,0.0,4.0
5165,2015-16,M218,06M218,I.S. 218 Salome Urena,M218,,,,,,0.0
5166,2015-16,M218,06M293,City College Academy of the Arts,M293,,,,,,0.0
5167,2015-16,M218,06M322,Middle School 322,M322,,,,,,0.0
5168,2015-16,M218,,4600 BROADWAY CONSOLIDATED LOCATION,,1.0,2.0,1.0,2.0,1.0,7.0
5169,2015-16,M223,06M223,The Mott Hall School,M223,0.0,0.0,0.0,0.0,0.0,0.0
5170,2015-16,M234,02M234,P.S. 234 Independence School,M234,0.0,0.0,1.0,0.0,0.0,1.0
5171,2015-16,M267,02M267,"East Side Elementary School, PS 267",M267,0.0,0.0,0.0,0.0,0.0,0.0
5172,2015-16,M271,02M217,P.S./I.S. 217 Roosevelt Island,M217,0.0,0.0,0.0,0.0,0.0,0.0
5173,2015-16,M276,02M276,BATTERY PARK CITY SCHOOL,M276,,,,,,0.0
5174,2015-16,M276,,55 BATTERY PLACE CONSOLIDATED LOCATION,,0.0,0.0,0.0,0.0,0.0,0.0
5175,2015-16,M281,02M281,The River School,M281,0.0,0.0,0.0,0.0,0.0,0.0
5176,2015-16,M282,02M316,"Urban Assembly School of Business for Young Women,",M316,,,,,,0.0
5177,2015-16,M282,02M580,Richard R. Green High School of Teaching,M580,,,,,,0.0
5178,2015-16,M282,02M896,Lower Manhattan Community Middle School,M896,,,,,,0.0
5179,2015-16,M282,,26 BROADWAY CONSOLIDATED LOCATION,,1.0,7.0,9.0,2.0,2.0,21.0
5180,2015-16,M338,02M051,P.S. 051 Elias Howe,M051,0.0,0.0,0.0,0.0,0.0,0.0
5181,2015-16,M340,02M340,Sixth Avenue Elementary School,M340,0.0,0.0,0.0,0.0,0.0,0.0
5182,2015-16,M371,05M318,Thurgood Marshall Academy Lower School,M318,0.0,0.0,0.0,0.0,0.0,0.0
5183,2015-16,M435,04M435,Manhattan Center for Science and Mathematics,M435,,,,,,0.0
5184,2015-16,M435,04M825,Isaac Newton Middle School for Math & Science,M825,,,,,,0.0
5185,2015-16,M435,,260 PLEASANT AVENUE CONSOLIDATED LOCATION,,0.0,4.0,7.0,1.0,2.0,14.0
5186,2015-16,M486,02M529,Jacqueline Kennedy Onassis High School,M529,2.0,7.0,19.0,4.0,3.0,35.0
5187,2015-16,M440,02M313,"James Baldwin School, The: A School for Expedition",M313,,,,,,0.0
5188,2015-16,M440,02M392,MANHATTAN BUSINESS ACADEMY,M392,,,,,,0.0
5189,2015-16,M440,02M419,Landmark High School,M419,,,,,,0.0
5190,2015-16,M440,02M422,Quest to Learn,M422,,,,,,0.0
5191,2015-16,M440,02M437,Hudson High School of Learning Technologies,M437,,,,,,0.0
5192,2015-16,M440,02M605,Humanities Preparatory Academy,M605,,,,,,0.0
5193,2015-16,M812,05M692,"High School for Mathematics, Science and Engineeri",M692,0.0,0.0,0.0,0.0,0.0,0.0
5194,2015-16,M440,,351 WEST  18 STREET CONSOLIDATED LOCATION,,3.0,16.0,14.0,12.0,6.0,51.0
5195,2015-16,M445,02M294,Essex Street Academy,M294,,,,,,0.0
5196,2015-16,M445,02M305,"Urban Assembly Academy of Government and Law, The",M305,,,,,,0.0
5197,2015-16,M445,02M308,Lower Manhattan Arts Academy,M308,,,,,,0.0
5198,2015-16,M445,02M543,New Design High School,M543,,,,,,0.0
5199,2015-16,M445,02M545,High School for Dual Language and Asian Studies,M545,,,,,,0.0
5200,2015-16,M445,,350 GRAND STREET CONSOLIDATED LOCATION,,2.0,5.0,12.0,6.0,1.0,26.0
5201,2015-16,M446,01M448,University Neighborhood High School,M448,0.0,3.0,5.0,0.0,1.0,9.0
5202,2015-16,M451,02M550,Liberty High School Academy for Newcomers,M550,0.0,0.0,1.0,0.0,0.0,1.0
5203,2015-16,M460,02M374,Gramercy Arts High School,M374,,,,,,0.0
5204,2015-16,M460,02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,M399,,,,,,0.0
5205,2015-16,M460,02M438,International High School at Union Square,M438,,,,,,0.0
5206,2015-16,M460,02M473,Washington Irving Yabc,M473,,,,,,0.0
5207,2015-16,M460,02M533,Union Square Academy for Health Sciences,M533,,,,,,0.0
5208,2015-16,M460,02M546,Academy for Software Engineering,M546,,,,,,0.0
5209,2015-16,M814,06M346,Community Health Academy of the Heights,M346,0.0,1.0,1.0,0.0,1.0,3.0
5210,2015-16,M460,84M174      ,Success Academy Union Square (Manhattan 1),M174,,,,,,0.0
5211,2015-16,M460,,40 IRVING PLACE CONSOLIDATED LOCATION,,1.0,7.0,26.0,6.0,2.0,42.0
5212,2015-16,M465,06M457,George Washington Yabc,M457,,,,,,0.0
5213,2015-16,M465,06M462,The College Academy,M462,,,,,,0.0
5214,2015-16,M465,06M463,High School for Media and Communications,M463,,,,,,0.0
5215,2015-16,M465,06M467,High School for Law and Public Service,M467,,,,,,0.0
5216,2015-16,M465,06M468,High School for Health Careers and Sciences,M468,,,,,,0.0
5217,2015-16,M465,,549 AUDUBON AVENUE CONSOLIDATED LOCATION,,2.0,7.0,18.0,2.0,7.0,36.0
5218,2015-16,M470,03M402,The Urban Assembly School for Green Careers,M402,,,,,,0.0
5219,2015-16,M470,03M403,The Global Learning Collaborative,M403,,,,,,0.0
5220,2015-16,M470,03M404,Innovation Diploma Plus,M404,,,,,,0.0
5221,2015-16,M470,03M417,FRANK McCOURT HIGH SCHOOL,M417,,,,,,0.0
5222,2015-16,M470,84M523      ,Success Academy Charter School - Upper West,M577,,,,,,0.0
5223,2015-16,M470,,145 WEST  84 STREET CONSOLIDATED LOCATION,,4.0,6.0,27.0,3.0,5.0,45.0
5224,2015-16,M475,02M407,Institute for Collaborative Education,M407,,,,,,0.0
5225,2015-16,M475,02M420,High School for Health Professions and Human Servi,M420,,,,,,0.0
5226,2015-16,M475,75M226,P.S. M226,M226,,,,,,0.0
5227,2015-16,M475,,345 EAST  15TH STREET CONSOLIDATED LOCATION,,1.0,6.0,11.0,3.0,3.0,24.0
5228,2015-16,M477,02M475,Stuyvesant High School,M475,0.0,2.0,4.0,1.0,0.0,7.0
5229,2015-16,M480,02M225,Ella Baker School,M225,,,,,,0.0
5230,2015-16,M480,02M449,Vanguard High School,M449,,,,,,0.0
5231,2015-16,M480,02M459,Manhattan International High School,M459,,,,,,0.0
5232,2015-16,M480,02M519,Talent Unlimited High School,M519,,,,,,0.0
5233,2015-16,M480,02M565,Urban Academy Laboratory High School,M565,,,,,,0.0
5234,2015-16,M480,,317 EAST  67 STREET CONSOLIDATED LOCATION,,0.0,2.0,2.0,0.0,2.0,6.0
