,SCHOOL CODE,SCHOOL NAME
865,Q031,ps 031 bayside
866,Q041,ps 041 crocheron
867,Q046,ps 046 alley pond
868,Q067,jhs 067 louis pasteur
869,Q074,jhs 074 nathaniel hawthorne
870,Q094,ps 094 david d porter
871,Q098,ps 098 the douglaston school
872,Q115,ps 115 glen oaks
873,Q133,ps 133 queens
874,Q158,ms 158 marie curie
875,Q159,ps 159
876,Q162,ps 162 john golden
877,Q172,irwin altman middle school 172
878,Q173,ps 173 fresh meadows
879,Q178,ps/ is 178 holliswood
880,Q186,ps 186 castlewood
881,Q188,ps 188 kingsbury
882,Q191,ps 191 mayflower
883,Q203,ps 203 oakland gardens
884,Q205,ps 205 alexander graham bell
885,Q213,ps 213 the carl ullman school
886,Q216,jhs 216 george j ryan
887,Q221,ps 221 the north hills school
888,Q266,ps / is 266
889,Q376,ps 376
890,Q042,ps/ms 042 r vernam
891,Q043,ps 043
892,Q045,ps 045 clarence witherspoon
893,Q047,ps 047 chris galas
894,Q051,ps 051
895,Q053,ms 053 brian piccolo
896,Q056,ps 056 harry eichler
897,Q060,ps 060 woodhaven
898,Q062,p s 62 - chester park school
899,Q063,ps 063 old south
900,Q064,ps 064 joseph p addabbo
901,Q065,ps 65 - the raymond york elementary school
902,Q066,ps 066 jacqueline kennedy onassis
903,Q090,ps 090 horace mann
904,Q096,ps 096
905,Q097,ps 097 forest park
906,Q100,ps 100 glen morris
907,Q104,ps 104 the bays water
908,Q105,ps 105 the bay school
909,Q106,ps 106
910,Q108,ps 108 captain vincent g fowler
911,Q114,ps / ms 114 belle harbor
912,Q123,ps 123
913,Q124,ps 124 osmond a church
914,Q137,ms 137 america's school of heroes
915,Q146,ps 146 howard beach
916,Q155,ps 155
917,Q183,ps 183 dr richard r green
918,Q197,ps 197 the ocean school
919,Q202,jhs 202 robert h goddard
920,Q207,ps 207 rockwood park
921,Q210,jhs 210 elizabeth blackwell
922,Q223,ps 223 lyndon b johnson
923,Q226,jhs 226 virgil i grissom
924,Q232,ps 232 lindenwood
925,Q253,ps 253
926,Q254,ps 254 - the rosa parks school
927,Q262,channel view school for research
928,Q273,ps 273
929,Q282,knowledge and power preparatory academy vi
930,Q297,hawtree creek middle school
931,Q306,new york city academy for discovery
932,Q309,academy of medical technology: a college board school
933,Q316,queens explorers elementary school
934,Q317,waterside children's studio school
935,Q318,waterside school for leadership
936,Q319,village academy
937,Q323,scholars' academy
938,Q333,goldie maple academy
939,Q362,wave preparatory elementary school
940,Q377,ps 377
941,Q008,jhs 008 richard s grossley
942,Q040,ps 040 samuel huntington
943,Q048,ps 048 william wordsworth
944,Q050,ps 050 talfourd lawn elementary school
945,Q054,ps 054 hillside
946,Q055,ps 055 maure
947,Q072,catherine & count basie middle school 72
948,Q080,ps 80 the thurgood marshall magnet school of multimedia and communication
949,Q082,ps 082 hammond
950,Q086,ps q086
951,Q099,ps 099 kew gardens
952,Q101,ps 101 school in the gardens
953,Q117,ps 117 j keld / briarwood school
954,Q121,ps 121 queens
955,Q139,ps 139 rego park
956,Q140,ps 140 edward k ellington
957,Q144,ps 144 col jeromus remsen
958,Q157,jhs 157 stephen a halsey
959,Q160,ps 160 walter francis bishop
960,Q161,ps 161 arthur ashe school
961,Q167,metropolitan expeditionary learning school
962,Q174,ps 174 william sidney mount
963,Q175,ps 175 the lynn gross discovery school
964,Q182,ps 182 samantha smith
965,Q190,jhs 190 russell sage
966,Q196,ps 196 grand central parkway
967,Q206,ps 206 the horace harding school
968,Q217,jhs 217 robert a van wyck
969,Q220,ps 220 edward mandel
970,Q284,york early college academy
971,Q287,the emerson school
972,Q303,the academy for excellence through the arts
973,Q310,queens collegiate: a college board school
974,Q312,jamaica children's school
975,Q332,redwood middle school
976,Q349,ps 349
977,Q354,ps 354
978,Q358,ms 358
979,Q680,queens gateway to health sciences secondary school
980,Q896,"young women's leadership school, queens"
981,Q015,ps 015 jackie robinson
982,Q033,ps 033 edward m funk
983,Q034,ps 034 john harvard
984,Q035,ps 035 nathaniel woodhull
985,Q036,ps 036 saint albans school
986,Q037,cynthia jenkins school
987,Q038,ps 038 rosedale
988,Q052,ps 052 queens
989,Q059,is 059 springfield gardens
990,Q095,ps 095 eastwood
991,Q109,jean nuzzi intermediate school
992,Q116,ps/is 116 william c hughley
993,Q118,ps 118 lorraine hansberry
994,Q131,ps 131 abigail adams
995,Q132,ps 132 ralph bunche
996,Q134,ps 134 hollis
997,Q135,the bellaire school
998,Q136,ps 136 roy wilkins
999,Q138,ps/ ms138 sunrise
1000,Q147,ps/ms 147 ronald mcnair
1001,Q156,ps 156 laurelton
1002,Q176,ps 176 cambria heights
1003,Q181,ps 181 brookfield
1004,Q192,is 192 the linden
1005,Q195,ps 195 william haberle
1006,Q208,ps / is 208
1007,Q238,is 238 - susan b anthony academy
1008,Q251,ps 251 queens
1009,Q259,pathways college preparatory school: a college board school
1010,Q268,ps/is 268
1011,Q270,the gordon parks school
1012,Q283,preparatory academy for writers: a college board school
1013,Q289,queens united middle school
1014,Q295,ps/is 295
1015,Q327,eagle academy for young men iii
1016,Q355,collaborative arts middle school
1017,Q356,community voices middle school
1018,Q360,ps 360
1019,Q002,ps 002 alfred zimberg
1020,Q010,is 010 horace greeley
1021,Q011,ps 011 kathryn phelan
1022,Q017,ps 017 henry david thoreau
1023,Q069,ps 069 jackson heights
1024,Q070,ps 070 queens
1025,Q076,ps 076 william hallet
1026,Q078,ps/is 78q
1027,Q084,ps 084 steinway
1028,Q085,ps 085 judge charles vallone
1029,Q092,ps 092 harry t stewart sr
1030,Q111,ps 111 jacob blackwell
1031,Q112,ps 112 dutch kills
1032,Q122,ps 122 mamie fay
1033,Q126,albert shanker school for visual and performing arts
1034,Q127,ps 127 aerospace science magne
1035,Q141,is 141 the steinway
1036,Q145,is 145 joseph pulitzer
1037,Q148,ps 148 queens
1038,Q149,ps 149 christa mcauliffe
1039,Q150,ps 150 queens
1040,Q151,ps 151 mary d carter
1041,Q152,ps 152 gwendoline n alleyne school
1042,Q166,ps 166 henry gradstein
1043,Q171,ps 171 peter g van alst
1044,Q204,is 204 oliver w holmes
1045,Q212,ps 212
1046,Q222,ps q222 - fire fighter christopher a santora school
1047,Q227,is 227 louis armstrong
1048,Q228,ps 228 early childhood magnet school of the arts
1049,Q230,is 230
1050,Q234,ps 234
1051,Q235,academy for new americans
1052,Q280,ps 280
1053,Q286,"young women's leadership school, astoria"
1054,Q291,hunters point community middle school
1055,Q300,the 30th avenue school (g&t citywide)
1056,Q329,east elmhurst community school
1057,Q361,ps 361
1058,Q580,baccalaureate school for global education
1059,R001,ps 001 tottenville
1060,R002,is r002 george l egbert
1061,R003,ps 003 the margaret gioiosa school
1062,R004,ps 004 maurice wollin
1063,R005,ps 005 huguenot
1064,R006,ps 6 corporal allan f kivlehan school
1065,R007,is 007 elias bernstein
1066,R008,ps 8 shirlee solomon
1067,R009,naples street elementary school
1068,R010,fort hill collaborative elementary school
1069,R011,ps 11 thomas dongan school
1070,R013,ps 013 m l lindemeyer
1071,R016,ps 016 john j driscoll
1072,R018,ps 018 john g whittier
1073,R019,ps 019 the curtis school
1074,R020,ps 020 port richmond
1075,R021,ps 21 margaret emery-elm park
1076,R022,ps 022 graniteville
1077,R023,ps 023 richmondtown
1078,R024,is 024 myra s barnes
1079,R026,ps 026 the carteret school
1080,R027,is 027 anning s prall
1081,R028,the eagle academy for young men of staten island
1082,R029,ps 029 bardwell
1083,R030,ps 030 westerleigh
1084,R031,ps 031 william t davis
1085,R032,ps 032 the gifford school
1086,R034,is 034 tottenville
1087,R035,ps 35 the clove valley school
1088,R036,ps 036 j c drumgoole
1089,R038,ps 038 george cromwell
1090,R039,ps 39 francis j murphy jr
1091,R041,ps 041 new dorp
1092,R042,ps 042 eltingville
1093,R044,ps 044 thomas c brown
1094,R045,ps 045 john tyler
1095,R046,ps 046 albert v maniscalco
1096,R048,ps 048 william g wilcox
1097,R049,is 49 berta a dreyfus
1098,R050,ps 050 frank hankinson
1099,R051,is 051 edwin markham
1100,R052,ps 052 john c thompson
1101,R053,ps 053 bay terrace
1102,R054,ps 054 charles w leng
1103,R055,ps 055 henry m boehm
1104,R056,ps 56 the louis desario school
1105,R057,ps 057 hubert h humphrey
1106,R058,space shuttle columbia school
1107,R059,the harbor view school
1108,R060,ps 060 alice austen
1109,R061,is 061 william a morris
1110,R062,ps 62
1111,R063,marsh avenue school for expeditionary learning
1112,R065,ps 65 the academy of innovative learning
1113,R068,port richmond school for visionary learning
1114,R069,ps 069 daniel d tompkins
1115,R072,is 072 rocco laurie
1116,R074,ps 74 future leaders elementary school
1117,R075,is 075 frank d paulo
1118,R078,ps 78
1119,R080,the michael j petrides school
1120,R861,staten island school of civic leadership
1121,K045,ps/is 045 horace e greene
1122,K075,ps 075 mayda cortiella
1123,K086,ps 086 the irvington
1124,K106,ps 106 edward everett hale
1125,K116,ps 116 elizabeth l farrell
1126,K123,ps 123 suydam
1127,K145,ps 145 andrew jackson
1128,K151,ps 151 lyndon b johnson
1129,K162,jhs 162 the willoughby
1130,K274,ps 274 kosciusko
1131,K291,jhs 291 roland hayes
1132,K299,ps 299 thomas warren field
1133,K347,is 347 school of humanities
1134,K349,"is 349 math, science & tech"
1135,K376,ps 376
1136,K377,ps 377 alejandrina b de gautier
1137,K383,jhs 383 philippa schuyler
1138,K384,ps /is 384 frances e carter
1139,K554,all city leadership secondary school
1140,K562,evergreen middle school for urban exploration
1141,M325,p.s. 325
1142,X162,j.h.s. 162 lola rodriguez de tio
1143,X335,the academy of the arts
1144,X145,j.h.s. 145 arturo toscanini
1145,X289,the young scholars academy of the bronx
1146,K429,brooklyn school for global studies
1147,K584,m.s. 584
1148,K533,school for democracy and leadership
1149,K311,essence school
1150,M137,p.s. 137 john l. bernstein
1151,M292,henry street school for international studies
1152,M345,"collaborative academy of science, technology, & language-arts education"
1153,M381,global neighborhood secondary school
1154,M410,the urban assembly institute for new technologies
1155,M326,m.s. 326 - writers today & leaders tomorrow
1156,X385,performance school
1157,X366,urban assembly academy of civic engagement
1158,X064,p.s. 064 pura belpre
1159,X230,p.s. 230 dr roland n. patterson
1160,X272,globe school for environmental research
1161,X050,p.s. 050 clara barton
1162,K596,ms 596 peace academy
1163,K330,the school for the urban environment
1164,K385,"school of business, finance and entrepreneurship"
1165,K534,upper school @ p.s. 25
1166,K636,young scholars' academy for discovery and exploration
1167,K167,p.s. 167 the parkway
1168,K334,middle school for academic and social excellence
1169,K174,p.s. 174 dumont
1170,K073,p.s. 073 thomas s. boyland
1171,M448,university neighborhood high school
1172,M458,forsyth satellite academy
1173,M509,marta valle high school
1174,M515,lower east side preparatory high school
1175,M650,cascades high school
1176,M696,bard high school early college
1177,M047,47 the american sign language and english secondary school
1178,M135,the urban assembly school for emergency management
1179,M139,stephen t. mather building arts & craftsmanship high school
1180,M280,manhattan early college school for advertising
1181,M282,urban assembly maker academy
1182,M288,food and finance high school
1183,M294,essex street academy
1184,M296,high school of hospitality management
1185,M298,pace high school
1186,M300,"urban assembly school of design and construction, the"
1187,M303,"facing history school, the"
1188,M305,"urban assembly academy of government and law, the"
1189,M308,lower manhattan arts academy
1190,M313,"james baldwin school, the: a school for expeditionary learning"
1191,M316,"urban assembly school of business for young women, the"
1192,M374,gramercy arts high school
1193,M376,nyc ischool
1194,M392,manhattan business academy
1195,M393,business of sports school
1196,M394,emma lazarus high school
1197,M399,the high school for language and diplomacy
1198,M400,high school for environmental studies
1199,M411,baruch college campus high school
1200,M412,n.y.c. lab school for collaborative studies
1201,M414,n.y.c. museum school
1202,M416,eleanor roosevelt high school
1203,M418,millennium high school
1204,M419,landmark high school
1205,M420,high school for health professions and human services
1206,M425,leadership and public service high school
1207,M427,manhattan academy for arts & language
1208,M429,legacy school for integrated studies
1209,M432,murray hill academy
1210,M437,hudson high school of learning technologies
1211,M438,international high school at union square
1212,M439,manhattan village academy
1213,M449,vanguard high school
1214,M459,manhattan international high school
1215,M460,washington irving high school
1216,M475,stuyvesant high school
1217,M489,high school of economics and finance
1218,M500,unity center for urban technologies
1219,M507,urban assembly gateway school for technology
1220,M519,talent unlimited high school
1221,M520,murry bergtraum high school for business careers
1222,M529,jacqueline kennedy onassis high school
1223,M531,repertory company high school for theatre arts
1224,M533,union square academy for health sciences
1225,M534,harvest collegiate high school
1226,M542,manhattan bridges high school
1227,M543,new design high school
1228,M544,independence high school
1229,M545,high school for dual language and asian studies
1230,M546,academy for software engineering
1231,M550,liberty high school academy for newcomers
1232,M551,urban assembly new york harbor school
1233,M560,high school m560 - city as school
1234,M570,satellite academy high school
1235,M575,manhattan comprehensive night and day high school
1236,M580,richard r. green high school of teaching
1237,M586,harvey milk high school
1238,M600,the high school of fashion industries
1239,M605,humanities preparatory academy
1240,M615,chelsea career and technical education high school
1241,M625,high school of graphic communication arts
1242,M630,art and design high school
1243,M283,manhattan theatre lab high school
1244,M299,"high school for arts, imagination and inquiry"
1245,M307,"urban assembly school for media studies, the"
1246,M402,the urban assembly school for green careers
1247,M403,the global learning collaborative
1248,M404,innovation diploma plus
1249,M417,frank mccourt high school
1250,M479,beacon high school
1251,M485,fiorello h. laguardia high school of music & art and performing arts
1252,M492,"high school for law, advocacy and community justice"
1253,M494,high school of arts and technology
1254,M505,edward a. reynolds west side high school
1255,M541,manhattan / hunter science high school
1256,M013,j.h.s. 013 jackie robinson
1257,M409,coalition school for social change
1258,M435,manhattan center for science and mathematics
1259,M495,park east high school
1260,M555,central park east high school
1261,M680,"heritage school, the"
1262,M157,the urban assembly school for global commerce
1263,M285,harlem renaissance high school
1264,M304,mott hall high school
1265,M367,academy for social action: a college board school
1266,M369,urban assembly school for the performing arts
1267,M469,choir academy of harlem
1268,M685,bread & roses integrated arts high school
1269,M692,"high school for mathematics, science and engineering at city college"
1270,M211,inwood early college for health and information technologies
1271,M423,high school for excellence and innovation
1272,M462,the college academy
1273,M463,high school for media and communications
1274,M467,high school for law and public service
1275,M468,high school for health careers and sciences
1276,M540,a. philip randolph campus high school
1277,M552,gregorio luperon high school for science and mathematics
1278,X203,m.s. 203
1279,X259,"health, education, and research occupations (h.e.r.o.) high school"
1280,X321,crotona academy high school
1281,X334,international community high school
1282,X379,jill chaifetz transfer high school
1283,X427,community school for social justice
1284,X473,mott haven village preparatory high school
1285,X495,university heights secondary school
1286,X520,foreign language academy of global studies
1287,X522,bronx design and construction academy
1288,X527,bronx leadership academy ii high school
1289,X547,new explorers high school
1290,X548,urban assembly school for careers in sports
1291,X557,mott haven community high school
1292,X600,alfred e. smith career and technical education high school
1293,X655,samuel gompers career and technical education high school
1294,X670,health opportunities high school
1295,X282,women's academy of excellence
1296,X293,renaissance high school for musical theater & technology
1297,X295,gateway school for environmental research and technology
1298,X305,pablo neruda academy for architecture and world studies
1299,X312,millennium art academy
1300,X320,pelham lab high school
1301,X332,holcombe l. rucker school of community research
1302,X348,schuylerville preparatory high school
1303,X349,bronx river high school
1304,X377,bronx community high school
1305,X405,herbert h. lehman high school.
1306,X432,bronx bridges high school
1307,X452,bronx guild
1308,X519,"felisa rincon de gautier institute for law and public policy, the"
1309,X530,banana kelly high school
1310,X558,westchester square academy
1311,X559,school for tourism and hospitality
1312,X561,bronx compass high school
1313,X650,jane addams high school for academic careers
1314,X227,bronx collegiate academy
1315,X250,eximius college preparatory academy: a college board school
1316,X252,mott hall bronx high school
1317,X260,bronx center for science and mathematics
1318,X263,validus preparatory academy: an expeditionary learning school
1319,X276,leadership institute
1320,X297,morris academy for collaborative studies
1321,X329,dreamyard preparatory school
1322,X403,bronx international high school
1323,X404,school for excellence
1324,X412,bronx high school of business
1325,X414,jonathan levin high school for media and communications
1326,X517,frederick douglass academy iii secondary school
1327,X525,bronx leadership academy high school
1328,X543,high school for violin and dance
1329,X564,claremont international hs
1330,X213,bronx engineering and technology academy
1331,X237,"the marie curie school for medicine, nursing, and health professions"
1332,X264,bronx academy for software engineering (base)
1333,X268,kingsbridge international high school
1334,X284,bronx school of law and finance
1335,X319,providing urban learners success in education high school
1336,X351,bronx collaborative high school
1337,X353,world view high school
1338,X374,knowledge and power preparatory academy international high school (kappa)
1339,X397,english language learners and international support preparatory academy (ellis)
1340,X433,high school for teaching and the professions
1341,X434,belmont preparatory high school
1342,X437,fordham high school for the arts
1343,X438,fordham leadership academy for business and technology
1344,X439,bronx high school for law and community service
1345,X440,dewitt clinton high school
1346,X442,"celia cruz bronx high school of music, the"
1347,X445,bronx high school of science
1348,X477,marble hill high school for international studies
1349,X524,crotona international high school
1350,X546,bronx theatre high school
1351,X549,discovery high school
1352,X565,high school for energy and technology
1353,X660,grace dodge career and technical education high school
1354,X696,high school of american studies at lehman college
1355,X142,ms 142 john philip sousa
1356,X249,bronx health sciences high school
1357,X253,bronx high school for writing and communication arts
1358,X265,bronx lab school
1359,X270,academy for scholarship and entrepreneurship: a college board school
1360,X275,high school of computers and technology
1361,X288,collegiate institute for math and science
1362,X290,bronx academy of health careers
1363,X299,astor collegiate academy
1364,X418,bronx high school for the visual arts
1365,X455,harry s truman high school
1366,X508,bronxdale high school
1367,X509,high school of language and innovation
1368,X513,new world high school
1369,X514,the bronxwood preparatory academy
1370,X542,pelham preparatory academy
1371,X544,high school for contemporary arts
1372,X545,bronx aerospace high school
1373,X248,"metropolitan high school, the"
1374,X251,explorations academy
1375,X278,peace and diversity academy
1376,X388,pan american international high school at monroe
1377,X446,arturo a. schomburg satellite academy bronx
1378,X478,the cinema school
1379,X479,bronx career and college preparatory high school
1380,X480,bronx regional high school
1381,X511,bronx envision academy
1382,X521,the metropolitan soundview high school
1383,X550,high school of world cultures
1384,X684,wings academy
1385,X692,monroe academy for visual arts & design
1386,K350,urban assembly high school of music and art
1387,K412,"brooklyn community high school of communication, arts and media"
1388,K419,"science skills center high school for science, technology and the creative arts"
1389,K430,brooklyn technical high school
1390,K439,brooklyn international high school
1391,K483,the urban assembly school for law and justice
1392,K499,acorn community high school
1393,K553,brooklyn academy high school
1394,K575,bedford stuyvesant preparatory high school
1395,K595,bedford academy high school
1396,K605,george westinghouse career and technical education high school
1397,K616,brooklyn high school for leadership and community service
1398,K670,benjamin banneker academy
1399,K674,"city polytechnic high school of engineering, architecture, and technology"
1400,K019,p.s. 019 roberto clemente
1401,K322,foundations academy
1402,K449,"brooklyn latin school, the"
1403,K454,green school: an academy for environmental careers
1404,K474,progress high school for professional careers
1405,K477,school for legal studies
1406,K478,"the high school for enterprise, business and technology"
1407,K488,brooklyn preparatory high school
1408,K558,williamsburg high school for architecture and design
1409,K561,williamsburg preparatory school
1410,K610,automotive high school
1411,K632,frances perkins academy
1412,K685,el puente academy for peace and justice
1413,K423,brooklyn frontiers high school
1414,K462,secondary school for law
1415,K463,secondary school for journalism
1416,K519,cobble hill school of american studies
1417,K529,west brooklyn community high school
1418,K592,khalil gibran international academy
1419,K656,brooklyn high school of the arts
1420,K667,sunset park high school
1421,K684,millennium brooklyn hs
1422,K698,south brooklyn community high school
1423,K393,frederick douglass academy iv secondary school
1424,K455,boys and girls high school
1425,K498,brooklyn high school for law and technology
1426,K594,gotham professional arts academy
1427,K669,research and service hs
1428,K688,the brooklyn academy of global finance
1429,K765,nelson mandela school for social justice
1430,K122,pathways in technology early college high school (p-tech)
1431,K408,academy of hospitality and tourism
1432,K489,w.e.b. dubois academic high school
1433,K524,international high school at prospect heights
1434,K528,the high school for global citizenship
1435,K537,high school for youth and community development at erasmus
1436,K539,high school for service & learning at erasmus
1437,K544,international arts business school
1438,K546,high school for public service: heroes of tomorrow
1439,K547,brooklyn academy of science and the environment
1440,K548,brooklyn school for music & theatre
1441,K568,brownsville academy high school
1442,K600,clara barton high school
1443,K745,brooklyn institute for liberal arts
1444,K751,academy for health careers
1445,K563,it takes a village academy
1446,K566,brooklyn generation school
1447,K567,brooklyn theatre arts high school
1448,K569,kurt hahn expeditionary learning school
1449,K576,victory collegiate high school
1450,K578,brooklyn bridge academy
1451,K589,arts & media preparatory academy
1452,K617,high school for innovation in advertising and media
1453,K629,cultural academy for the arts and sciences
1454,K633,high school for medical professions
1455,K635,olympus academy
1456,K637,academy for conservation and the environment
1457,K642,urban action academy
1458,K673,east brooklyn community high school
1459,K166,j.h.s. 166 george gershwin
1460,K302,j.h.s. 302 rafael cordero
1461,K502,fdny high school for fire and life safety
1462,K504,high school for civil rights
1463,K507,performing arts and technology high school
1464,K510,world academy for total community health high school
1465,K583,multicultural high school
1466,K615,transit tech career and technical education high school
1467,K618,academy of innovative technology
1468,K639,brooklyn lab school
1469,K659,cypress hills collegiate preparatory school
1470,K660,w. h. maxwell career and technical education high school
1471,K683,"the school for classics: an academy of thinkers, writers and performers"
1472,K764,the urban assembly school for collaborative healthcare
1473,K445,new utrecht high school
1474,K485,high school of telecommunication arts and technology
1475,K490,fort hamilton high school
1476,K505,franklin delano roosevelt high school
1477,K337,international high school at lafayette
1478,K344,rachel carson high school for coastal studies
1479,K348,high school of sports management
1480,K410,abraham lincoln high school
1481,K525,edward r. murrow high school
1482,K540,john dewey high school
1483,K559,life academy high school for film and music
1484,K572,expeditionary learning school for community leaders
1485,K620,william e. grady career and technical education high school
1486,K728,liberation diploma plus
1487,K405,midwood high school
1488,K425,james madison high school
1489,K495,sheepshead bay high school
1490,K535,leon m. goldstein high school for the sciences
1491,K555,brooklyn college academy
1492,K611,origins high school
1493,K630,professional pathways high school
1494,K493,brooklyn collegiate: a college board school
1495,K514,frederick douglass academy vii high school
1496,K631,general d. chappie james elementary school of science
1497,K634,general d. chappie james middle school of science
1498,K643,brooklyn democracy academy
1499,K646,aspirations diploma plus high school
1500,K647,metropolitan diploma plus high school
1501,Q236,international high school for health sciences
1502,Q264,academy of finance and enterprise
1503,Q267,high school of applied communication
1504,Q293,civic leadership academy
1505,Q296,pan american international high school
1506,Q299,bard high school early college queens
1507,Q455,newtown high school
1508,Q485,grover cleveland high school
1509,Q520,middle college high school at laguardia community college
1510,Q530,international high school at laguardia community college
1511,Q550,high school for arts and business
1512,Q585,maspeth high school
1513,Q600,queens vocational and technical high school
1514,Q610,aviation career & technical education high school
1515,Q240,veritas academy
1516,Q241,queens high school for language studies
1517,Q263,flushing international high school
1518,Q425,john bowne high school
1519,Q460,flushing high school
1520,Q525,townsend harris high school
1521,Q540,queens academy high school
1522,Q670,robert f. kennedy community high school
1523,Q792,north queens community high school
1524,Q315,business technology early college high school
1525,Q415,benjamin n. cardozo high school
1526,Q430,francis lewis high school
1527,Q435,martin van buren high school
1528,Q495,bayside high school
1529,Q566,"queens high school of teaching, liberal arts and the sciences"
1530,Q215,p.s. 215 lucretia mott
1531,Q260,frederick douglass academy vi high school
1532,Q261,voyages preparatory - south queens
1533,Q302,"queens high school for information, research, and technology"
1534,Q308,robert h. goddard high school of communication arts and technology
1535,Q314,epic high school - south
1536,Q324,rockaway park high school for environmental sustainability
1537,Q334,epic high school - north
1538,Q351,rockaway collegiate high school
1539,Q400,august martin high school
1540,Q475,richmond hill high school
1541,Q480,john adams high school
1542,Q650,"high school for construction trades, engineering and architecture"
1543,Q325,hillside arts & letters academy
1544,Q328,high school for community leadership
1545,Q338,queens satellite high school for opportunity
1546,Q350,jamaica gateway to the sciences
1547,Q440,forest hills high school
1548,Q505,hillcrest high school
1549,Q620,thomas a. edison career and technical education high school
1550,Q686,queens metropolitan high school
1551,Q687,queens high school for the sciences at york college
1552,Q690,high school for law enforcement and public safety
1553,Q243,institute for health professions at cambria heights
1554,Q248,queens preparatory academy
1555,Q265,excelsior preparatory high school
1556,Q272,george washington carver high school for the sciences
1557,Q313,benjamin franklin high school for finance and information technology
1558,Q326,cambria heights academy
1559,Q492,"mathematics, science research and technology magnet high school"
1560,Q494,"law, government and community service high school"
1561,Q496,"business, computer applications & entrepreneurship high school"
1562,Q498,humanities & arts magnet high school
1563,Q258,energy tech high school
1564,Q301,academy for careers in television and film
1565,Q445,william cullen bryant high school
1566,Q450,long island city high school
1567,Q501,frank sinatra school of the arts high school
1568,Q502,information technology high school
1569,Q555,newcomers high school
1570,Q575,academy of american studies
1571,R014,p.s. 014 cornelius vanderbilt
1572,R047,csi high school for international studies
1573,R064,gaynor mccown expeditionary learning school
1574,R440,new dorp high school
1575,R445,port richmond high school
1576,R450,curtis high school
1577,R455,tottenville high school
1578,R460,susan e. wagner high school
1579,R470,concord high school
1580,R600,ralph r. mckee career and technical education high school
1581,R605,staten island technical high school
1582,K168,the brooklyn school for math and research
1583,K403,academy for environmental leadership
1584,K545,ebc high school for public service–bushwick
1585,K549,bushwick school for social justice
1586,K552,academy of urban planning
1587,K556,bushwick leaders high school for academic excellence
1588,K564,bushwick community high school
1589,M620,norman thomas high school
1590,M635,academy of environmental science secondary high school
1591,X381,bronx haven high school
1592,X537,bronx arena high school
1593,X540,school for community research and learning
1594,X239,"urban assembly academy for history and citizenship for young men, the"
1595,X475,john f. kennedy high school
1596,X322,aspire preparatory middle school
1597,X415,christopher columbus high school
1598,X541,global enterprise high school
1599,X102,p.s. 102 joseph o. loretan
1600,X262,performance conservatory high school
1601,X682,fannie lou hamer freedom high school
1602,X690,monroe academy for business/law
1603,K103,satellite three
1604,K022,p.s. 022
1605,K587,middle school for the arts
1606,K625,paul robeson high school
1607,K260,p.s. 260 breuckelen
1608,K332,p.s. 332 charles h. houston
1609,Q744,voyages preparatory
1610,Q410,beach channel high school
1611,Q030,p.s. 030 queens
1612,Q470,jamaica high school
1613,K296,i.s. 296 - the anna gonzalez community school
1614,M045,j.h.s. m045 john s. roberts
1615,M195,i.s. 195 roberto clemente
1616,X560,high school x560 - bronx academy hs
1617,X365,academy for language and technology
1618,X245,new day academy
1619,K509,freedom academy high school
1620,K571,m.s. 571
1621,K530,metropolitan corporate academy
1622,Q231,i.s. 231 magnetech 2000
1623,M440,bayard rustin educational complex
1624,M470,louis d. brandeis high school
1625,X002,p.s. 002 morrisania
1626,X198,p.s. 198
1627,K336,academy of business and community development
1628,K520,pacific high school
1629,K420,franklin k. lane high school
1630,K027,agnes y. humphrey school for leadership
1631,K500,canarsie high school
1632,K072,p.s./i.s. 072 annette p goldman
1633,K645,ebc/eny high school for public safety & law
1634,M044,j.h.s. m044 william j. o'shea
1635,M317,kappa ii
1636,M344,academy of collaborative education
1637,M321,m.s. 321 - minerva
1638,Q225,p.s. 225 seaside
1639,Q465,far rockaway high school
1640,X090,p.s. 090 george meany
1641,X166,j.h.s. 166 roberto clemente
1642,X079,p.s. 079 creston
1643,X399,m.s. 399
1644,X680,bronx coalition community high school
