,SCHOOL CODE,SCHOOL NAME
384,X096,ps 096 richard rodgers
385,X097,ps 097 bronx
386,X103,ps 103 hector fontanez
387,X105,ps 105 sen abraham bernstein
388,X106,ps 106 parkchester
389,X108,ps 108 philip j abinanti
390,X111,ps 111 seton falls
391,X112,ps 112 bronxwood
392,X121,ps 121 throop
393,X127,jhs 127 the castle hill
394,X144,jhs 144 michelangelo
395,X153,ps 153 helen keller
396,X160,ps 160 walt disney
397,X169,baychester academy
398,X175,ps 175 city island
399,X178,ps 178 - dr selman waksman
400,X180,ms 180 dr daniel hale williams
401,X181,is 181 pablo casals
402,X189,cornerstone academy for social action
403,X194,ps/ms 194
404,X287,the forward school
405,X326,bronx green middle school
406,X355,bronx alliance middle school
407,X357,young voices academy of the bronx
408,X370,school of diplomacy
409,X462,cornerstone academy for social action middle school (casa)
410,X468,pelham academy of academics and community engagement
411,X481,ps 481
412,X483,ps 483
413,X498,ps/ms 11x498 - van nest academy
414,X529,one world middle school at edenwald
415,X532,baychester middle school
416,X556,bronx park middle school
417,X566,pelham gardens middle school
418,X567,linden tree elementary school
419,X006,ps 006 west farms
420,X044,ps 044 david c farragut
421,X047,ps 047 john randolph
422,X057,ps 057 crescent
423,X061,ps 061 francisco oller
424,X066,ps 066 school of higher expectations
425,X067,ps 067 mohegan school
426,X092,ps 092 bronx
427,X098,jhs 098 herman ridder
428,X129,ms 129 academy for independent learning and leadership
429,X134,ps 134 george f bristow
430,X150,ps 150 charles james fox
431,X190,esmt- is 190
432,X195,ps 195
433,X196,ps 196
434,X211,ps 211
435,X212,ps 212
436,X214,ps 214
437,X217,school of performing arts
438,X242,mott hall v
439,X267,bronx latin
440,X271,east bronx academy for the future
441,X273,frederick douglass academy v middle school
442,X286,fannie lou hamer middle school
443,X300,the school of science and applied learning
444,X314,fairmont neighborhood school
445,X316,kappa iii
446,X318,"is x318 math, science & technology through arts"
447,X341,accion academy
448,X372,urban assembly school for wildlife conservation
449,X383,emolior academy
450,X384,entrada academy
451,X458,samara community school
452,X463,urban scholars community school
453,X531,archer elementary school
