School Campus,Arrested,Child in Crisis,Juvenile Report,Mitigated,PINS / Warrant,Summons,mitigated,Total
PS 282(Brooklyn),,3.0,1.0,,,,,4.0
PS 284 Lew Wallace(BN),,1.0,,,,,,1.0
PS 287(Brooklyn),,,,,,1.0,3.0,4.0
PS 289(Brooklyn),,,,1.0,,,,1.0
PS 29(Bronx),,4.0,,,1.0,,,5.0
PS 290(Brooklyn),,5.0,,,,,1.0,6.0
PS 291(Bronx),,1.0,,,,,,1.0
PS 297(Brooklyn),1.0,,,,,,,1.0
PS 298(Brooklyn),,1.0,,1.0,1.0,,1.0,4.0
PS 299(Brooklyn),,1.0,,,,,1.0,2.0
PS 3(Brooklyn),,2.0,,1.0,,,,3.0
PS 3(Staten Island),,1.0,,,,,,1.0
PS 30 (Manhattan),1.0,,,,,3.0,,4.0
PS 30(Staten Island),,1.0,,,,,,1.0
PS 304(Brooklyn),,1.0,,,,,,1.0
PS 305(Brooklyn),,5.0,,1.0,,,,6.0
PS 306(Bronx),,2.0,,,,,,2.0
PS 306(Brooklyn),,2.0,1.0,5.0,,,2.0,10.0
PS 307(Bronx),,2.0,,,,,,2.0
PS 307(Brooklyn),,2.0,,1.0,,,,3.0
PS 308(Brooklyn),2.0,5.0,1.0,14.0,,,2.0,24.0
PS 309(Brooklyn),1.0,,,,,,1.0,2.0
PS 31(Bronx),,1.0,,,,,,1.0
PS 31(Staten Island),,2.0,1.0,,,,,3.0
PS 315(Brooklyn),,1.0,,,,,,1.0
PS 316(Brooklyn),,1.0,1.0,1.0,,,,3.0
PS 32(Bronx),,7.0,,,,,,7.0
PS 32(Brooklyn),,2.0,,,,,2.0,4.0
PS 32(Queens),,1.0,,,,,,1.0
PS 327(Brooklyn),,4.0,,,,,2.0,6.0
PS 329(Brooklyn),,1.0,,,,,,1.0
PS 33 Chelsea Prep(Manhattan),1.0,1.0,,,,,1.0,3.0
PS 33(Bronx),,4.0,,,,,,4.0
PS 332(Brooklyn),,3.0,,,,,,3.0
PS 335(Brooklyn),,3.0,1.0,,,,,4.0
PS 34 Franklin D. Roosevelt(Manhattan),,1.0,,1.0,,,1.0,3.0
PS 34(Bronx),,2.0,,,,,,2.0
PS 34(Queens),,1.0,,2.0,,,1.0,4.0
PS 340(Bronx),,1.0,,,,,,1.0
PS 345(Brooklyn),,,,,,,2.0,2.0
PS 346(Brooklyn),1.0,1.0,,3.0,,,3.0,8.0
PS 35(Bronx),,4.0,1.0,,,,,5.0
PS 36(Manhattan),,,,2.0,,,,2.0
PS 36(Staten Island),,,,1.0,,,,1.0
PS 361(Brooklyn),,1.0,,,,,,1.0
PS 37(Queens),,1.0,,,,,,1.0
PS 375(Brooklyn),,2.0,,,,,2.0,4.0
PS 377(Brooklyn),,,,2.0,,,2.0,4.0
PS 38(Brooklyn),,2.0,,,,,,2.0
PS 38(Manhattan),2.0,1.0,1.0,1.0,,,1.0,6.0
PS 38(Staten Island),,,,2.0,,,,2.0
PS 384(Brooklyn),,,,1.0,,,,1.0
PS 39(Brooklyn),,,,2.0,,,,2.0
PS 396(Bronx),,2.0,,,,,,2.0
PS 397(Brooklyn),1.0,,,,,,,1.0
PS 4(Bronx),,1.0,,,,,1.0,2.0
PS 4(Manhattan),,,1.0,,,,,1.0
PS 41(Bronx),,,1.0,,,,1.0,2.0
PS 41(Brooklyn),5.0,,,1.0,,,,6.0
PS 42 (ANNEX)(Staten Island),,2.0,,,,,,2.0
PS 42 Benjamin Altman(Manhattan),,1.0,,,,,,1.0
PS 42(Queens),4.0,,,3.0,,,1.0,8.0
PS 42(Staten Island),,1.0,,,,,,1.0
PS 42(XE),,1.0,,1.0,,,,2.0
PS 43(Bronx),,1.0,,,,,,1.0
PS 43(Queens),2.0,4.0,,,,,,6.0
PS 44(Bronx),,2.0,,,,,,2.0
PS 44(Brooklyn),,2.0,,,,,1.0,3.0
PS 44(Staten Island),,,,2.0,,,,2.0
PS 45(Brooklyn),,2.0,,,,,1.0,3.0
PS 45(Queens),,,,1.0,,,1.0,2.0
PS 45(Staten Island),,,,1.0,,,,1.0
PS 452(MN),,2.0,,,,,,2.0
PS 46(Bronx),,2.0,,,,,,2.0
PS 46(Brooklyn),1.0,3.0,1.0,,,,,5.0
PS 46(Manhattan),2.0,2.0,2.0,4.0,,,,10.0
PS 46(Queens),1.0,,,,,,,1.0
PS 46(Staten Island),,2.0,,,,,,2.0
PS 47(Bronx),1.0,,,,,,,1.0
PS 48 William C. Wilcox(SI),,,,2.0,,,2.0,4.0
PS 48(Bronx),,,,,,,1.0,1.0
PS 48(Manhattan),,3.0,,,,,,3.0
PS 49 (Bronx),,3.0,1.0,2.0,,,1.0,7.0
PS 5(Bronx),1.0,4.0,1.0,,,,2.0,8.0
PS 5(Brooklyn),,1.0,,1.0,,,,2.0
PS 50 (Manhattan),,5.0,,,,,2.0,7.0
PS 50(Queens),,2.0,,,,,,2.0
PS 506 School of Journalism & Technology(Brooklyn),,,,1.0,,,,1.0
PS 52(Brooklyn),1.0,,,,,,,1.0
PS 53(Bronx),,2.0,,1.0,,,,3.0
PS 53(Staten Island),,,,,,,2.0,2.0
PS 54(Bronx),,1.0,,,,,,1.0
PS 54(Brooklyn),,,,1.0,,,,1.0
PS 54(Staten Island),,,,,,,2.0,2.0
PS 55(XE),,1.0,,,,1.0,,2.0
PS 56 Norwood Heights(Bronx),,1.0,,,,,,1.0
PS 56(Brooklyn),,1.0,2.0,,,,,3.0
PS 57(Bronx),,10.0,1.0,1.0,,1.0,,13.0
PS 57(Manhattan),,2.0,,,,,,2.0
PS 57(Staten Island),,,,,,,1.0,1.0
PS 58 (STATEN ISLAND),,1.0,,,,,,1.0
PS 58(Bronx),,,,1.0,,,,1.0
PS 58(Queens),,,1.0,,,,,1.0
PS 59(Bronx),,2.0,,,,,,2.0
PS 59(Brooklyn),,2.0,,1.0,,,,3.0
PS 6(Bronx),,2.0,,1.0,,,,3.0
PS 6(Brooklyn),,1.0,,,,,,1.0
PS 6(Manhattan),,,1.0,,,,1.0,2.0
PS 6(Staten Island),,2.0,,,,,,2.0
PS 60(Bronx),,3.0,,,,,1.0,4.0
PS 60(Staten Island),,2.0,,,,,,2.0
PS 63(Bronx),,5.0,,1.0,,,,6.0
PS 63(Queens),,1.0,,,,,,1.0
PS 65(Bronx),,3.0,,1.0,,,,4.0
PS 65(Queens),,,,1.0,,,,1.0
PS 66 (BROOKLYN),,1.0,1.0,,,,2.0,4.0
PS 66 (Bronx),2.0,,,,,,,2.0
PS 67(Bronx),,3.0,,,,2.0,,5.0
PS 67(Brooklyn),1.0,,,,,,,1.0
PS 68 Cambridge(Queens),,1.0,,,,,,1.0
PS 69 Annex(Bronx),,1.0,,,,,,1.0
PS 69(Bronx),,2.0,,,,,,2.0
PS 7(Brooklyn),1.0,3.0,,,,,,4.0
PS 70(Bronx),,9.0,,,,,,9.0
PS 71(Bronx),,,1.0,,,,1.0,2.0
PS 71(Queens),,1.0,,,,,,1.0
PS 72(Bronx),1.0,,,,,,,1.0
PS 72(Brooklyn),,1.0,,1.0,,,1.0,3.0
PS 72(Manhattan),,,2.0,,,,,2.0
PS 73(Bronx),,,2.0,2.0,,,1.0,5.0
PS 73(Brooklyn),,,,1.0,,,,1.0
PS 74 Future Leaders Elementary School,,,,1.0,,,,1.0
PS 75(Manhattan),,1.0,,,,,,1.0
PS 76(Bronx),,2.0,,,,,,2.0
PS 76(Manhattan),,1.0,,1.0,,,,2.0
PS 770 New American Academy(Brooklyn),3.0,,1.0,,,,,4.0
PS 78(Bronx),,2.0,,,,,,2.0
PS 78(SI),,3.0,,1.0,,,1.0,5.0
PS 79 Creston(Bronx),,3.0,,,,,,3.0
PS 79 HORAN SCHOOL(Manhattan),,4.0,,,,,,4.0
PS 8(Bronx),,5.0,,2.0,,,,7.0
PS 8(Staten Island),1.0,,,,,,,1.0
PS 80(Queens),1.0,,,,,,,1.0
PS 81(Brooklyn),,,,,,,1.0,1.0
PS 82 Hammond(Queens),,1.0,,1.0,,,,2.0
PS 83(Bronx),,3.0,,1.0,,,2.0,6.0
PS 84(Manhattan),1.0,5.0,,,,,,6.0
PS 85(Bronx),,2.0,,3.0,,,,5.0
PS 86(Bronx),,1.0,,,,,,1.0
PS 86(Queens),,4.0,,,,,,4.0
PS 87(Queens),,,1.0,,,,,1.0
PS 88(Bronx),4.0,,,,,,,4.0
PS 89 Cypress Hills (Brooklyn),,,,1.0,,,,1.0
PS 89(Bronx),,3.0,,,,,2.0,5.0
PS 89(Queens),,1.0,,,,,,1.0
PS 9(Brooklyn),,5.0,,,,,,5.0
PS 90(Bronx),,1.0,,1.0,,,,2.0
PS 90(Brooklyn),,1.0,,,,,2.0,3.0
PS 91(Bronx),,1.0,,,,,,1.0
PS 92(Bronx),,1.0,,,,,,1.0
PS 92(Brooklyn),4.0,,,,,1.0,,5.0
PS 92(Manhattan),1.0,1.0,2.0,,,,,4.0
PS 93(Brooklyn),2.0,1.0,1.0,1.0,,,1.0,6.0
PS 94 ANNEX(Bronx),,3.0,,,,,,3.0
PS 94 Kings College School(Bronx),,5.0,,,,,1.0,6.0
PS 94(Brooklyn),,2.0,,,,,,2.0
PS 95(Bronx),,6.0,,1.0,,,,7.0
PS 95(Brooklyn),,1.0,,,,,1.0,2.0
PS 96(Bronx),,1.0,,,,,,1.0
PS 96(Manhattan),1.0,1.0,1.0,,,,,3.0
PS 97(Bronx),,,,,,,1.0,1.0
PS 97(Queens),,1.0,,3.0,,,,4.0
PS 971 (Brooklyn),,1.0,,,,,,1.0
PS 99(Brooklyn),,,,1.0,,,,1.0
PS 99(PBQS),,1.0,,,,,,1.0
PS/IS 194 (BRONX),,,1.0,,,,,1.0
PS/IS 210 21st Century Academy for Community Leadership(Manhattan),1.0,,1.0,,,,,2.0
PS/IS 224 (Bronx),,,3.0,,,,,3.0
PS/IS 266 (QUEENS),,1.0,,,,,,1.0
PS/IS 295 (QS),,,,1.0,,,1.0,2.0
PS/IS 323(Brooklyn),,2.0,,5.0,,,1.0,8.0
PS/IS 35(Brooklyn),,4.0,1.0,1.0,,,2.0,8.0
PS/MS 75(Bronx),1.0,5.0,,1.0,,,,7.0
Pan American International HS(QN),,3.0,,,,,,3.0
Pan American International HS@Monroe(XE),,,1.0,,,,,1.0
Park Place Academy(old Belmont Academy Bklyn Susp. Site)(BN),,,,1.0,,,,1.0
Passages Academy at Belmont(BN),2.0,,,,,,,2.0
Pathways in Technology Early College HS(P-Tech)(BN),,,1.0,5.0,,1.0,,7.0
Pelham Academy of Academics & Community Engagement(XE),,,1.0,,,,,1.0
Pelham Lab High School (XE),2.0,,,,,,,2.0
Performing Arts & Technology HS(PATHS)(BN) ,,1.0,2.0,17.0,,3.0,5.0,28.0
Pioneer Academy(QN),,1.0,,,,,,1.0
PreK Center District 9 (UPK-582X),,,,1.0,,,,1.0
Preparatory Academy for Writers(QS),,,,2.0,,,2.0,4.0
QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL(Queens) ,3.0,4.0,,,,,1.0,8.0
"QUEENS HS OF TEACHING,LIBERAL ARTS & THE SCIENCES(Queens)",1.0,,1.0,1.0,,1.0,,4.0
QUEENS PREPARATORY ACADEMY(Queens),,,,1.0,,,1.0,2.0
QUEENS SATELLITE ACADEMY HS(QUEENS),3.0,,,,,,,3.0
QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL(Queens) ,4.0,,,1.0,,2.0,3.0,10.0
Queens Academy HS(Jamaica Campus),1.0,1.0,,2.0,,2.0,,6.0
Queens Collegiate:A College Board School(Queens),1.0,3.0,,,,,,4.0
Queens Explorers Elementary School (PS 316Q) (QS),1.0,,,,,,,1.0
Queens HS for Language Studies(QN),,,1.0,,,,1.0,2.0
Queens Metropolitan HS,1.0,1.0,1.0,,,,1.0,4.0
Queens United Middle School(QS),,,,,,,1.0,1.0
Quest to Learn(MS),2.0,3.0,2.0,,,,,7.0
RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES(Brooklyn) ,1.0,,,3.0,,,,4.0
RALPH R.  MCKEE CAREER AND TECHNICAL EDUCATION  HS(Staten Island),1.0,,1.0,12.0,,3.0,7.0,24.0
REPERTORY COMPANY HS FOR THEATRE ARTS(Manhattan),,,1.0,,,,,1.0
RICHARD R. GREEN HIGH SCHOOL OF TEACHING(MS) ,1.0,1.0,5.0,,,3.0,,10.0
RICHMOND HILL HS(QS),7.0,4.0,,6.0,,8.0,,25.0
RIVERDALE/KINGSBRIDGE ACADEMY (MS/HS 141)(Bronx),,4.0,4.0,2.0,,,3.0,13.0
ROBERT F. KENNEDY COMMUNITY HS(Queens) ,3.0,,2.0,1.0,,1.0,,7.0
"ROBERT F.WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY(Queens) ",2.0,,,,,,,2.0
Red Hook Neighborhood School(Brooklyn),,,,1.0,,,,1.0
Richard R. Green HS of Teaching(MS),1.0,,1.0,,,,,2.0
Robert E. Peary (PS 75)(QN),,9.0,,,,,,9.0
Rockaway Collegiate HS(QS),1.0,,1.0,3.0,,1.0,,6.0
Rockaway Park HS for Environmental Sustainability(Queens),,2.0,,7.0,,1.0,5.0,15.0
SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION  HS(XW),3.0,,1.0,2.0,,1.0,,7.0
SAMUEL J. TILDEN HS(Brooklyn),2.0,2.0,,3.0,,1.0,6.0,14.0
SATELLITE ACADEMY HS(Manhattan),,2.0,,1.0,,,,3.0
SCHOOL FOR DEMOCRACY AND LEADERSHIP(Brooklyn) ,1.0,,,2.0,,,,3.0
SCHOOL FOR EXCELLENCE(Bronx) ,,1.0,1.0,,,1.0,,3.0
SCHOOL FOR LEGAL STUDIES(Brooklyn) ,,,1.0,12.0,,1.0,,14.0
SCHOOL OF CO-OP TECH. ED.(Manhattan),,3.0,,2.0,,,,5.0
SCHOOL OF THE FUTURE HS(Manhattan),,,3.0,,,4.0,,7.0
SCIENCE SKILLS CENTER HS AT WATERS EDGE(Brooklyn) ,5.0,1.0,1.0,5.0,,1.0,8.0,21.0
SECONDARY SCHOOL FOR JOURNALISM(Brooklyn),,1.0,,1.0,,,,2.0
SECONDARY SCHOOL FOR LAW(Brooklyn) ,3.0,,,,,,,3.0
SEWARD PARK HS(Manhattan),4.0,,,,,,,4.0
SHEEPSHEAD BAY HS(Brooklyn),1.0,1.0,3.0,,,1.0,,6.0
SOUTH BRONX ACADEMY FOR APPLIED MEDIA(Bronx) ,,,,1.0,,,,1.0
SOUTH BRONX HS(Bronx),,,,,,,4.0,4.0
SOUTH BRONX PREPARATORY:A COLLEGE BOARD SCHOOL(Bronx) ,,,1.0,,,,,1.0
SOUTH BROOKLYN COMMUNITY HIGH SCHOOL(Brooklyn),1.0,1.0,,,,,,2.0
SOUTH SHORE HS(BS) ,4.0,,2.0,1.0,,5.0,2.0,14.0
SPRINGFIELD GARDENS HS(Queens) ,2.0,3.0,,17.0,,,4.0,26.0
STATEN ISLAND TECHNICAL  HS(Staten Island),5.0,3.0,,,,,1.0,9.0
STEM Institute of Manhattan(MN),,3.0,1.0,,,,,4.0
STREET ACADEMY(Brooklyn),,2.0,,10.0,,,1.0,13.0
STUYVESANT HS(Manhattan) ,5.0,20.0,2.0,2.0,,,,29.0
SUSAN E. WAGNER HS(Staten Island),3.0,7.0,7.0,5.0,2.0,3.0,15.0,42.0
Scholars Academy(Queens),,1.0,,,,,,1.0
School for Tourism and Hospitality(XE),,,1.0,,,,,1.0
Second Opportunity School-SOS (Sankofa Academy)(Brooklyn),1.0,1.0,1.0,,,,,3.0
Skillman High School@P4(Queens),,2.0,,,,,,2.0
Soundview Academy for Culture & Scholarship(XE),,3.0,,1.0,,2.0,,6.0
Soundview Educational Campus(Bronx),1.0,,5.0,1.0,,6.0,,13.0
Spring Creek Community School(BN),,,,2.0,,,,2.0
Spruce Street School(MS),,,1.0,,,,1.0,2.0
St. Hope Leadership Academy Charter School(MN),1.0,,,,,,,1.0
Staten Island Borough Office(Staten Island),,,,,,,1.0,1.0
Staten Island School of Civic Leadership,1.0,,,,,,2.0,3.0
Stephen T. Mather Building Arts & Craftsmanship HS(MS),1.0,,,,,1.0,1.0,3.0
Stephen T. Mather Building Arts & Craftsmanship HS(ManSouth),,,,,,,1.0,1.0
Success Academy Charter School - Bed-Stuy 1(BN),,1.0,,,,,1.0,2.0
Success Academy Charter School - Bergen Beach(BS),,2.0,,,,,,2.0
Success Academy Charter School - Bronx 1(XW),,8.0,1.0,,,,,9.0
Success Academy Charter School - Bronx 2(XE),,1.0,,,,,,1.0
Success Academy Charter School - Bronx 4 - New York 2(XE),,1.0,,,,,,1.0
Success Academy Charter School - Harlem 1(MN),,4.0,,,,,,4.0
Success Academy Charter School - Harlem 3(MN),,1.0,,,,,,1.0
Success Academy Charter School - Harlem 4(MN),,2.0,,,,,,2.0
Success Academy Charter School - Harlem 5(MN),,1.0,,,,,,1.0
Success Academy Charter School - Rosedale NY 5,,2.0,,,,,,2.0
Success Academy Charter School-Springfield Gardens-New York 6(QS),,1.0,,,,,,1.0
Success Academy Harlem Central(MN),,1.0,1.0,2.0,,,,4.0
Success Academy High School of the Liberal Arts(MS),,,,1.0,,,,1.0
Sunset Park HS(Brooklyn),1.0,6.0,,2.0,,1.0,,10.0
Sunset Park Prep(Brooklyn),,,1.0,,,,,1.0
TEACHERS PREPARATORY HS(Brooklyn),1.0,9.0,1.0,,,1.0,4.0,16.0
THE CELIA CRUZ BRONX HS OF MUSIC(Bronx) ,,,1.0,,,1.0,,2.0
THE FACING HISTORY SCHOOL(Manhattan) ,1.0,,,,,1.0,,2.0
THE FORWARD SCHOOL(Bronx) ,,2.0,,,,,,2.0
THE HERITAGE SCHOOL(Manhattan),5.0,1.0,,,,,1.0,7.0
THE JAMES BALDWIN SCHOOL:A SCHOOL FOR EXPEDITIONARY LEARNING(Manhattan) ,,1.0,,,,,,1.0
"THE MARIE CURIE HS FOR NURSING,MEDICINE & ALLIED HEALTH PROFESSIONS(Bronx) ",,4.0,,,,,,4.0
THE METROPOLITAN HS(Bronx) ,,2.0,,4.0,,1.0,,7.0
THE SCHOOL FOR HUMAN RIGHTS(Brooklyn) ,,1.0,,,,,,1.0
THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE(Bronx),,1.0,,,,,,1.0
THE URBAN ASSEMBLY ACADEMY OF GOVERNMENT & LAW(Manhattan) ,,,1.0,,,,,1.0
THE URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES(MLK Educational Campus),,2.0,2.0,,,8.0,,12.0
THE URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN(MS) ,2.0,1.0,2.0,7.0,,5.0,,17.0
THE URBAN ASSEMBLY SCHOOL OF DESIGN & CONSTRUCTION(Manhattan),,,,1.0,,,,1.0
THEODORE ROOSEVELT HIGH SCHOOL(Bronx),6.0,1.0,4.0,5.0,,,1.0,17.0
THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION  HS(Queens) ,2.0,3.0,1.0,3.0,,,,9.0
THOMAS JEFFERSON HS(Brooklyn),,3.0,,38.0,,1.0,21.0,63.0
THURGOOD MARSHALL ACADEMY FOR LEARNING & CHANGE (Manhattan),1.0,2.0,,,,,,3.0
THURGOOD MARSHALL ACADEMY LOWER SCHOOL(Manhattan) ,,1.0,,,,,,1.0
TITO PUENTE EDUCATION COMPLEX(Manhattan),,3.0,4.0,,,,,7.0
TOTTENVILLE HS(Staten Island) ,8.0,3.0,7.0,22.0,,,3.0,43.0
TOWNSEND HARRIS HS(Queens),,,,,,1.0,,1.0
TRANSIT TECH CAREER & TECHNICAL EDUCATION HS(BROOKLYN) ,1.0,2.0,1.0,32.0,,3.0,20.0,59.0
The Brooklyn School for Math & Research(BN),,,1.0,5.0,,1.0,,7.0
The College Academy(MN),,,,,,1.0,,1.0
The Emerson School(QS),,,,2.0,,,,2.0
"The HS for Enterprise, Business, & Technology(BN) ",,,,12.0,,,2.0,14.0
The HS of Fashion Industries(Manhattan),1.0,1.0,1.0,6.0,,1.0,,10.0
The Harbor View School (SI),,1.0,,,,,,1.0
The Highbridge Green School(XW),,3.0,,,,,1.0,4.0
The New Visions Charter HS for Advanced Math and Science(XW),,,1.0,3.0,,,3.0,7.0
The New Visions Charter HS for the Humanities(XW),,2.0,,,,,,2.0
The Opportunity Charter School(MN),,,,,,,1.0,1.0
The Richard H. Hungerford School(Staten Island),,3.0,,,,,,3.0
The Riverview School(QN),,1.0,,,,,,1.0
The Science & Medicine Middle School(Brooklyn),1.0,1.0,,,,,,2.0
The Urban Assembly Bronx Academy of Letters(XW) ,1.0,1.0,,,,,1.0,3.0
The Urban Assembly Institute for New Technologies(Manhattan),,,2.0,,,,,2.0
The Urban Assembly School for Applied Math & Science(Bronx),,1.0,,,,,,1.0
The Urban Assembly School for Collaborative Healthcare(BN),,,,6.0,1.0,,2.0,9.0
The Urban Assembly School for Emergency Management(MS),,1.0,1.0,,,,,2.0
The Urban Assembly School for Global Commerce(MN),1.0,,,2.0,,,,3.0
The Urban Assembly School for Green Careers(Manhattan),,1.0,,,,,,1.0
UNIVERSITY HEIGHTS SECONDARY SCHOOL(Bronx),,,,,,1.0,,1.0
UNIVERSITY NEIGHBORHOOD HS(Manhattan),,,,1.0,,1.0,,2.0
URBAN ASSEMBLY HS OF MUSIC & ART AT WATER'S EDGE(Brooklyn),1.0,4.0,1.0,3.0,,2.0,7.0,18.0
URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS(Bronx),,,2.0,3.0,,5.0,,10.0
URBAN ASSEMBLY SCHOOL FOR LAW & JUSTICE(Brooklyn),,,1.0,8.0,,,,9.0
Uncommon Charter HS(BS),,,,2.0,,,,2.0
Union Square Academy for Health Sciences(MS),1.0,1.0,,,,,,2.0
Unity Center for Urban Technologies(MS),,1.0,,,,,,1.0
University Neighborhood Middle School(Manhattan),,1.0,1.0,2.0,,,1.0,5.0
Urban Assembly Gateway School for Technology(MS),1.0,,1.0,,,2.0,,4.0
Urban Assembly Institute of Math & Science for Young Women(Brooklyn),2.0,2.0,,7.0,,1.0,5.0,17.0
Urban Assembly New York Harbor School(MS),1.0,,1.0,,,,,2.0
Urban Assembly School for Criminal Justice (Bklyn),,4.0,,,,,,4.0
Urban Assembly School for Wildlife Conservation (Bronx),4.0,4.0,3.0,3.0,,,,14.0
Urban Institute of Mathematics (Bronx),1.0,1.0,,,,,,2.0
Urban Science Academy(XW),,1.0,1.0,,,,,2.0
VALIDUS PREPARATORY ACADEMY:AN EXPEDITIONARY LEARNING SCHOOL(Bronx) ,1.0,5.0,2.0,1.0,,1.0,,10.0
VOYAGES Preparatory(QN),,1.0,,,,,,1.0
Van Nest Academy(Bronx),1.0,3.0,,,,,,4.0
Victory Collegiate HS (BS),1.0,1.0,,1.0,,,,3.0
Village Academy(Queens),,,1.0,,,,,1.0
Voyages Prep South Queens(QS),,1.0,,1.0,,,5.0,7.0
W.E.B. DU BOIS YABC(Brooklyn),,,2.0,3.0,,,,5.0
W.E.B. DUBOIS ACADEMIC HS(Brooklyn),,,,,,,1.0,1.0
WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS(Manhattan) ,,3.0,1.0,4.0,,2.0,,10.0
WALTON HS(Bronx),3.0,4.0,2.0,6.0,,3.0,1.0,19.0
WASHINGTON IRVING HS(Manhattan) ,4.0,9.0,,1.0,,,,14.0
WEST BRONX ACADEMY FOR THE FUTURE(Bronx),1.0,,,,,,,1.0
WEST SIDE HS(Manhattan) ,1.0,,,,,,,1.0
WILDCAT HS(Bronx),1.0,,,,,,,1.0
WILLIAM CULLEN  BRYANT HS(Queens),5.0,15.0,1.0,2.0,,2.0,2.0,27.0
WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION  HS(Brooklyn) ,1.0,1.0,,1.0,,3.0,,6.0
WILLIAM H. MAXWELL CAREER & TECHNICAL EDUCATION HS(Brooklyn),1.0,2.0,2.0,38.0,1.0,,28.0,72.0
WILLIAM H. TAFT HIGH SCHOOL(Bronx),3.0,7.0,9.0,5.0,,8.0,,32.0
WILLIAMSBURG COLLEGIATE CHARTER SCHOOL(Brooklyn),,,,,,,1.0,1.0
WILLIAMSBURG HS FOR ARCHITECTURE & DESIGN(Brooklyn) ,,1.0,,4.0,,,,5.0
WINGS ACADEMY(Bronx),1.0,,2.0,2.0,,4.0,,9.0
WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HS-WATCH(Brooklyn),1.0,,,2.0,,,5.0,8.0
Washington Heights Expeditionary Learning School(Manhattan),,4.0,1.0,,,,,5.0
West Prep Academy(Manhattan),1.0,,2.0,3.0,,,,6.0
Westchester Square Academy (XE),,,,3.0,,,,3.0
World Journalism Preparatory:A College Board School(Queens),,,,,,1.0,,1.0
YOUNG WOMEN LEADERSHIP SCHOOL QUEENS CAMPUS(Queens),1.0,1.0,1.0,,,,,3.0
YOUNG WOMEN LEADERSHIP SCHOOL/MANHATTAN CAMPUS(Manhattan),,1.0,,,,,1.0,2.0
Yorkville Community School (Manhattan),,1.0,,,,,,1.0
Young Women Leadership School Astoria(Queens),,,,1.0,,,1.0,2.0
