School Campus,Arrested,Child in Crisis,Juvenile Report,Mitigated,PINS / Warrant,Summons,mitigated,Total
IS 293(BS),,1.0,2.0,,,,,3.0
IS 30(BS),,,3.0,,,,,3.0
IS 302(BN),,3.0,3.0,2.0,,,,8.0
IS 339 SCHOOL OF COMM TECH(XE),,2.0,4.0,,,,,6.0
IS 34(SI),,,,2.0,,,1.0,3.0
IS 340(BS),1.0,,,,,,,1.0
IS 347 School ofHumanities(BN),,4.0,2.0,1.0,1.0,,1.0,9.0
IS 364 Annex(BN),,1.0,1.0,3.0,,,2.0,7.0
IS 364 Gateway(BN),,1.0,,1.0,,,1.0,3.0
IS 391(BS),4.0,9.0,,2.0,,,,15.0
IS 392(BN),,,,1.0,,,1.0,2.0
IS 43(SI) ,,1.0,,,,,,1.0
IS 49(BN),1.0,,,2.0,,,3.0,6.0
IS 49(SI),,,3.0,13.0,,,18.0,34.0
IS 5(QN),,,2.0,,,,,2.0
IS 51(SI),,2.0,,14.0,,,2.0,18.0
IS 53(QS),,5.0,,,,,,5.0
IS 61(QN),1.0,2.0,,,,,,3.0
IS 61(SI),4.0,,4.0,10.0,,,2.0,20.0
IS 62(BS),,1.0,,,,,,1.0
IS 68(BS),4.0,5.0,,9.0,1.0,,1.0,20.0
IS 7(SI),,8.0,,1.0,,,,9.0
IS 70(MS),,,2.0,2.0,,2.0,2.0,8.0
IS 72(SI),,,3.0,13.0,,,9.0,25.0
IS 73(QN),,1.0,1.0,1.0,,,1.0,4.0
IS 75(SI),,,,1.0,,,2.0,3.0
IS 77(QN),1.0,3.0,,2.0,,,,6.0
IS 78(BS),,3.0,1.0,,,,,4.0
IS 8(QS),2.0,6.0,1.0,12.0,,,3.0,24.0
IS 84(XE),,6.0,,,,,,6.0
IS 90(MN),1.0,4.0,,,,,,5.0
IS 96(BS),,4.0,,,,,,4.0
IS 98(XE),1.0,4.0,,3.0,,,,8.0
IS/JHS 13(MN),,1.0,,,,,,1.0
IS/JHS 167(MN),,,5.0,1.0,,,,6.0
