,dbn,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
121,K155,,,,,,"5,317,999","5,051,412","4,834,559","4,767,294","4,742,466","5,141,667","5,608,410"
122,K156,,,,,,"6,729,755","6,164,797","6,630,269","6,812,675","7,674,720","8,035,238","8,276,888"
123,K157,,,,,,"4,002,826","4,261,741","4,866,669","5,204,851","5,202,380","5,178,423","5,859,388"
124,K158,,,,,,"5,286,529","5,236,705","5,097,528","5,083,448","5,743,985","6,055,764","6,511,798"
125,K159,,,,,,"7,110,758","6,395,512","6,394,635","6,429,521","6,223,527","6,655,444","7,447,853"
126,K160,,,,,,"6,571,443","6,671,687","7,849,022","9,206,292","10,234,298","11,172,828","12,130,956"
127,K161,,,,,,"6,124,229","5,706,708","5,783,538","4,818,171","4,438,183","4,653,255","4,532,610"
128,K162,,,,,,"5,405,447","5,373,380","5,269,078","5,200,078","5,004,255","5,004,767","5,151,107"
129,K163,,,,,,"4,689,137","5,199,146","5,652,215","5,566,544","5,527,970","5,677,043","6,108,819"
130,K164,,,,,,"5,971,132","5,893,782","5,419,829","5,611,362","5,833,774","6,241,281","6,909,185"
131,K165,,,,,,"5,398,583","5,373,844","5,850,145","5,215,967","5,416,961","5,771,094","5,997,612"
132,K166,,,,,,"5,345,219","5,536,981","5,208,739","4,148,572","2,548,916",0,
133,K167,,,,,,"5,169,023","4,678,654","4,455,036","3,068,338","2,318,113","2,191,962",0
134,K168,,,,,,,"1,011,800","1,209,665","1,861,027","2,100,137","2,233,679","2,492,150"
135,K169,,,,,,"10,655,262","11,206,165","12,370,836","12,851,344","13,065,712","13,725,267","15,053,082"
136,K170,,,,,,"6,969,802","6,858,533","7,231,695","7,462,787","7,911,096","8,411,923","9,530,435"
137,K171,,,,,,"6,393,355","6,423,173","6,611,728","6,624,947","5,873,211","5,437,495","5,314,973"
138,K172,,,,,,"5,237,779","4,922,220","5,243,508","5,462,246","5,557,417","5,972,762","6,569,232"
139,K174,,,,,,"4,594,357","4,770,006","4,831,761","3,419,908","2,297,163","1,539,745",0
140,K176,,,,,,"8,820,409","9,173,074","9,403,535","9,880,090","10,103,287","10,839,306","11,460,569"
141,K177,,,,,,"7,002,995","6,993,131","7,402,696","7,395,205","8,007,569","8,612,765","9,244,891"
142,K178,,,,,,"5,080,206","4,799,016","4,593,418","4,617,665","4,417,639","4,118,105","4,342,129"
143,K179,,,,,,"8,270,762","8,082,491","8,606,844","8,553,720","8,368,701","9,392,183","9,438,961"
144,K180,,,,,,"9,600,766","10,165,540","10,135,000","10,228,941","10,285,817","10,873,515","11,226,062"
145,K181,,,,,,"9,902,113","9,483,491","9,035,178","8,649,465","8,462,022","8,532,704","8,505,679"
146,K184,,,,,,"4,820,942","4,719,988","4,803,603","5,226,810","5,506,359","5,570,586","6,262,038"
147,K185,,,,,,"5,198,516","4,870,547","4,974,983","4,799,044","5,128,931","5,128,912","5,548,936"
148,K186,,,,,,"6,376,595","6,646,017","6,891,376","7,017,501","7,365,639","8,231,811","9,258,023"
149,K187,,,,,,"6,311,159","5,883,365","6,019,883","6,230,653","6,652,467","7,042,809","7,004,651"
150,K188,,,,,,"5,597,402","5,642,675","5,458,533","5,706,961","5,536,826","5,788,314","5,750,035"
151,K189,,,,,,"8,823,911","8,684,276","8,630,602","8,295,396","8,320,404","8,204,049","8,831,853"
152,K190,,,,,,"3,500,515","2,893,260","2,607,459","2,424,425","2,266,352","2,353,631","2,407,851"
153,K191,,,,,,"3,229,194","2,939,318","2,927,862","2,776,420","2,506,172","2,436,380","2,481,091"
154,K192,,,,,,"7,421,671","6,834,582","6,718,841","6,490,831","6,641,963","7,240,166","7,431,513"
155,K193,,,,,,"6,821,526","6,922,566","7,289,728","7,454,979","7,315,576","8,090,293","8,386,779"
156,K194,,,,,,"5,089,786","4,881,193","4,866,573","4,837,544","5,107,920","5,673,502","6,260,809"
157,K195,,,,,,"2,999,100","2,934,719","3,236,786","3,267,284","3,236,651","3,564,207","3,844,737"
158,K196,,,,,,"4,866,929","4,537,070","4,422,827","4,494,539","4,404,261","4,583,534","5,269,605"
159,K197,,,,,,"5,819,074","5,850,191","5,505,097","5,662,656","6,094,568","6,414,638","6,961,294"
160,K198,,,,,,"4,815,541","4,662,673","4,508,201","4,596,754","4,687,532","5,251,095","5,274,861"
161,K199,,,,,,"5,490,190","5,295,331","4,957,716","4,973,086","5,166,916","5,993,387","6,984,835"
162,K200,,,,,,"8,616,983","8,666,842","8,839,408","8,871,046","9,014,654","9,864,149","10,573,261"
163,K201,,,,,,"9,197,602","9,699,859","9,259,631","9,130,669","9,113,769","9,836,510","10,793,667"
164,K202,,,,,,"7,262,288","6,773,813","6,760,784","6,276,492","5,752,086","5,463,884","5,625,789"
165,K203,,,,,,"7,773,897","7,641,918","7,460,091","6,760,387","7,162,806","8,160,867","7,864,894"
166,K204,,,,,,"7,919,690","7,961,942","8,514,422","8,293,655","9,442,429","9,949,984","11,083,383"
167,K205,,,,,,"9,853,025","9,998,747","10,320,413","10,765,656","10,722,434","11,622,269","12,569,102"
168,K206,,,,,,"9,419,210","9,275,272","9,237,351","9,517,288","9,657,368","11,297,261","12,310,234"
169,K207,,,,,,"7,842,906","7,773,791","8,353,598","8,606,446","8,519,105","9,566,271","10,430,991"
170,K208,,,,,,"4,604,516","4,316,516","4,089,765","4,257,927","4,364,313","4,575,380","5,067,335"
171,K209,,,,,,"6,353,816","6,214,988","6,355,994","6,932,655","7,063,761","7,485,264","7,743,755"
172,K211,,,,,,"7,342,551","7,304,816","6,879,946","6,624,222","6,511,891","6,275,628","6,129,541"
173,K212,,,,,,"5,721,882","5,784,786","6,017,470","6,240,307","6,416,348","7,263,203","7,746,997"
174,K213,,,,,,"4,359,095","4,539,643","4,712,682","4,574,149","4,749,371","4,155,429","4,092,560"
175,K214,,,,,,"8,489,575","8,125,330","7,884,149","8,241,245","8,143,767","8,742,957","9,007,820"
176,K215,,,,,,"5,216,719","5,318,780","5,793,367","6,675,935","6,728,561","8,054,739","8,236,310"
177,K216,,,,,,"4,490,551","5,085,855","5,533,400","5,621,473","5,894,065","6,570,672","7,229,898"
178,K217,,,,,,"10,938,222","10,790,166","10,605,637","10,267,583","10,470,362","10,887,664","11,461,720"
179,K218,,,,,,"5,176,580","5,648,501","4,982,561","5,101,373","5,224,477","5,125,683","4,973,382"
180,K219,,,,,,"7,220,216","6,089,290","5,791,413","5,780,526","6,166,172","6,482,606","6,660,034"
181,K220,,,,,,"10,526,830","10,118,401","10,503,161","11,083,362","11,499,694","11,478,568","12,859,530"
182,K221,,,,,,"6,012,521","5,608,998","5,351,944","4,981,141","5,030,708","5,016,057","4,810,279"
183,K222,,,,,,"9,082,688","9,149,673","9,322,615","9,111,300","9,508,446","10,400,882","11,078,677"
184,K223,,,,,,"6,465,853","6,585,291","7,302,010","7,973,328","8,356,071","8,900,612","9,081,261"
185,K224,,,,,,"7,132,822","7,059,267","6,870,151","6,102,501","5,760,157","5,581,043","5,501,321"
186,K225,,,,,,"9,320,924","9,202,184","9,657,503","9,724,538","9,858,953","11,353,257","11,704,999"
187,K226,,,,,,"8,876,611","9,329,256","9,552,051","9,748,523","9,822,181","10,635,871","10,615,039"
188,K227,,,,,,"11,231,000","10,780,139","10,711,358","10,421,234","9,992,383","10,369,628","11,783,527"
189,K228,,,,,,"6,803,106","6,597,601","7,531,380","8,567,545","10,363,907","11,566,851","11,702,412"
190,K229,,,,,,"5,871,264","6,709,080","7,161,088","7,133,410","7,475,571","8,411,060","9,119,096"
191,K230,,,,,,"10,045,421","10,287,960","10,826,969","10,931,461","11,004,966","11,623,740","11,682,388"
192,K233,,,,,,"5,440,321","5,224,955","5,349,160","5,064,501","5,106,697","5,682,333","5,683,680"
193,K234,,,,,,"11,856,184","11,571,849","11,261,461","11,134,090","11,515,790","12,730,189","13,763,295"
194,K235,,,,,,"8,175,088","8,591,120","8,129,413","8,087,318","8,473,835","9,126,386","9,390,219"
195,K236,,,,,,"5,014,405","4,815,197","4,977,433","4,741,484","4,534,732","4,889,828","5,158,355"
196,K238,,,,,,"7,873,229","8,151,243","7,818,375","7,423,766","7,715,211","8,233,932","8,081,594"
197,K239,,,,,,"7,275,479","6,707,909","7,034,259","7,435,969","7,947,472","8,630,849","8,955,661"
198,K240,,,,,,"8,030,519","7,955,369","7,149,304","7,330,021","7,182,262","6,936,997","7,318,391"
199,K241,,,,,,"5,899,512","5,618,749","5,689,411","5,896,019","6,199,172","6,172,210","6,199,578"
200,K243,,,,,,"4,817,103","4,696,566","4,563,448","4,411,323","3,988,105","4,056,363","4,195,190"
201,K244,,,,,,"9,434,529","9,776,225","9,827,761","9,596,471","9,350,374","9,155,099","8,872,342"
202,K245,,,,,,"2,121,324","2,320,526","2,498,812","2,610,877","2,811,629","2,921,695","3,123,959"
203,K246,,,,,,"6,566,439","6,369,435","6,031,291","6,400,062","5,997,899","5,911,623","5,415,623"
204,K247,,,,,,"5,296,179","5,423,629","5,600,825","5,999,332","6,576,372","7,284,244","7,818,830"
205,K249,,,,,,"5,675,503","6,036,407","6,685,862","7,313,691","7,507,248","8,020,538","8,589,850"
206,K250,,,,,,"5,800,318","6,780,801","6,354,028","6,365,035","5,772,393","5,468,175","5,394,876"
207,K251,,,,,,"5,968,848","5,939,981","6,005,705","5,712,146","6,009,125","6,415,861","6,369,898"
208,K253,,,,,,"5,784,515","6,001,429","6,960,527","7,553,144","7,882,921","8,532,366","8,804,268"
209,K254,,,,,,"5,051,266","5,110,124","5,268,949","5,110,121","5,463,049","6,009,359","6,294,348"
210,K255,,,,,,"7,946,007","8,021,475","8,470,015","8,773,007","9,867,910","9,449,083","10,348,786"
211,K256,,,,,,"3,942,841","3,803,769","3,994,105","3,865,227","3,736,458","3,379,280","3,486,383"
212,K257,,,,,,"6,579,419","7,048,164","6,827,907","6,938,476","7,347,744","7,467,836","8,122,373"
213,K259,,,,,,"10,007,267","10,168,401","10,107,173","9,820,059","9,930,676","11,047,176","13,000,974"
214,K260,,,,,,"3,641,303","2,333,222","1,629,647","1,270,598",0,,
215,K261,,,,,,"6,209,091","6,052,298","6,022,116","6,068,241","6,069,168","6,332,683","6,961,831"
216,K262,,,,,,"3,725,942","3,891,861","4,309,063","4,458,874","4,285,716","4,414,728","4,338,400"
217,K264,,,,,,"956,226","1,139,860","2,092,233","2,964,582","3,724,371","4,235,786","4,717,609"
218,K265,,,,,,"4,418,962","4,145,355","4,114,912","4,295,164","4,130,371","4,076,104","4,399,716"
219,K266,,,,,,"1,720,180","1,608,883","1,554,605","1,594,501","1,690,928","1,736,282","2,045,054"
220,K267,,,,,,"3,214,816","3,617,791","3,583,990","3,467,276","2,995,848","2,665,286","2,853,652"
221,K268,,,,,,"4,928,889","4,657,084","4,405,599","4,226,743","4,022,063","3,987,768","4,289,894"
222,K269,,,,,,"5,195,943","5,111,655","4,679,451","4,300,992","4,403,152","4,399,587","4,133,981"
223,K270,,,,,,"2,753,776","2,488,203","2,305,711","2,309,332","2,640,701","2,431,696","2,283,867"
224,K272,,,,,,"7,250,923","6,987,911","6,426,240","6,381,928","6,135,761","6,676,400","7,019,063"
225,K273,,,,,,"4,111,109","4,058,072","3,988,403","3,843,255","4,076,012","4,163,045","4,170,321"
226,K274,,,,,,"5,971,090","5,237,595","5,476,248","5,190,946","5,365,201","5,347,255","5,134,985"
227,K276,,,,,,"7,416,249","7,300,782","7,214,110","7,124,474","7,662,486","7,902,532","7,394,424"
228,K277,,,,,,"3,854,427","4,000,435","4,229,176","4,472,385","4,431,354","4,589,136","4,539,969"
229,K278,,,,,,"7,457,050","7,824,246","8,894,592","9,217,128","9,477,969","9,374,868","10,860,368"
230,K279,,,,,,"5,969,335","5,853,809","5,139,102","5,301,658","5,308,969","5,245,804","5,115,072"
231,K281,,,,,,"9,502,961","9,306,551","8,974,047","8,753,317","8,676,568","9,108,494","10,533,614"
232,K282,,,,,,"6,766,242","6,582,665","6,748,772","7,056,450","7,096,733","7,521,493","7,876,569"
233,K284,,,,,,"5,305,573","4,589,818","4,829,913","5,136,564","5,453,218","5,886,062","6,235,947"
234,K285,,,,,,"6,538,943","6,589,679","6,787,588","6,889,233","6,215,909","6,250,450","6,272,698"
235,K287,,,,,,"2,911,222","2,704,230","2,451,116","2,392,953","2,857,102","2,506,326","2,803,755"
236,K288,,,,,,"5,618,382","5,732,705","5,184,399","4,897,647","5,039,168","6,013,291","7,182,305"
237,K289,,,,,,"7,762,539","6,841,430","6,471,757","5,964,023","5,971,415","6,162,599","6,647,604"
238,K290,,,,,,"4,775,213","4,908,062","4,825,295","5,101,612","5,220,373","5,658,747","5,917,675"
239,K291,,,,,,"6,090,941","5,883,963","5,979,105","6,745,046","5,510,613","5,419,221","5,295,359"
240,K292,,,,,,"6,043,665","5,821,356","5,912,127","5,992,855","5,809,022","5,881,808","6,092,307"
241,K295,,,,,,"4,043,059","4,419,220","4,685,651","4,828,047","5,312,881","5,528,231","5,903,916"
242,K296,,,,,,"5,350,644","4,888,812","3,328,871","2,039,531",0,,
243,K297,,,,,,"3,589,894","3,534,810","3,333,285","3,297,885","3,193,868","3,349,131","3,652,917"
244,K298,,,,,,"5,792,885","5,460,129","4,884,889","4,064,533","4,183,285","4,349,378","4,035,250"
245,K299,,,,,,"4,601,098","4,282,866","4,178,119","4,096,447","4,215,701","4,087,921","4,130,068"
246,K301,,,,,,"1,941,319","1,802,610","1,727,047","1,697,932","1,604,285","1,862,437","1,739,304"
247,K302,,,,,,"9,201,952","8,408,900","8,037,220","7,123,996","4,389,459",0,
248,K303,,,,,,"5,942,063","5,497,224","5,124,368","4,729,536","4,402,526","4,369,787","4,425,202"
249,K305,,,,,,"3,252,901","3,182,414","3,038,740","2,888,328","2,481,551","2,607,755","2,594,204"
250,K306,,,,,,"6,817,466","6,631,109","7,014,170","6,959,027","6,978,741","7,609,874","7,812,270"
251,K307,,,,,,"4,177,174","4,434,196","5,044,413","5,749,303","7,208,680","7,499,555","6,800,802"
252,K308,,,,,,"6,489,816","6,179,849","6,157,692","5,824,671","5,553,564","5,228,627","5,636,709"
253,K309,,,,,,"4,543,742","4,375,250","4,470,724","4,189,067","4,009,041","4,037,846","3,923,690"
254,K310,,,,,,"1,330,784","1,710,078","2,745,688","3,454,308","3,948,607","4,288,127","4,245,915"
255,K311,,,,,,"2,128,162","1,935,972","1,700,552","1,926,580","1,971,730","2,206,200","2,023,532"
256,K312,,,,,,"8,065,134","7,911,901","7,899,214","7,573,165","7,522,657","7,894,583","8,035,091"
257,K313,,,,,,"2,081,987","1,860,848","1,516,650","1,543,689","1,387,323","1,268,879","2,036,180"
258,K315,,,,,,"6,084,644","5,842,120","6,198,654","6,508,303","6,845,713","7,122,468","7,359,012"
259,K316,,,,,,"3,740,779","3,746,915","3,842,234","3,870,421","4,672,610","5,572,689","6,427,307"
260,K318,,,,,,"10,979,003","10,661,278","10,745,313","10,837,853","11,385,946","11,737,127","11,607,101"
261,K319,,,,,,"1,845,321","1,799,352","1,662,158","1,533,799","1,585,985","1,722,367","1,838,056"
262,K321,,,,,,"9,063,827","9,302,667","9,635,358","9,586,876","10,098,537","10,546,255","10,831,005"
263,K322,,,,,,"1,943,100","1,701,474","1,606,608","1,477,007","1,415,214","1,790,976",0
264,K323,,,,,,"4,747,743","4,542,013","4,221,856","4,342,356","4,211,342","4,290,546","5,003,090"
265,K325,,,,,,,"1,310,595","1,660,583","1,876,327","2,530,419","2,670,659","2,835,004"
266,K326,,,,,,"2,474,880","2,140,652","2,400,054","2,438,798","2,444,598","2,797,408","2,865,355"
267,K327,,,,,,"6,779,138","6,415,663","6,288,363","6,067,624","5,800,184","5,751,876","5,179,029"
268,K328,,,,,,"6,260,462","5,736,136","5,252,237","4,921,668","4,905,986","5,654,795","4,987,085"
269,K329,,,,,,"5,790,744","5,444,286","5,391,533","4,956,819","5,115,915","5,117,824","5,276,387"
270,K330,,,,,,"1,461,704","1,398,862","1,155,565","1,140,861","1,061,332","1,307,004",0
271,K332,,,,,,"4,624,430","3,331,278","2,220,040","1,459,910",0,,
272,K334,,,,,,"2,255,227","2,367,203","1,987,114","1,959,535","1,633,308","1,728,328",0
273,K335,,,,,,"4,936,654","4,650,808","4,431,778","4,294,351","4,350,273","4,112,996","4,052,177"
274,K336,,,,,,"1,793,607","2,141,837",0,,,,
275,K337,,,,,,"2,905,949","2,943,615","3,125,609","3,221,214","3,266,105","3,611,618","3,694,596"
276,K340,,,,,,"2,086,152","2,028,180","1,813,367","1,578,811","1,885,649","2,127,715","2,517,135"
277,K344,,,,,,"3,522,303","3,500,499","3,699,345","3,794,389","4,176,845","4,642,357","5,141,187"
278,K345,,,,,,"5,682,992","5,624,115","5,806,895","5,771,939","5,878,994","6,078,918","6,669,347"
279,K346,,,,,,"6,058,817","5,907,433","6,210,854","6,338,077","6,691,060","7,468,913","7,527,068"
280,K347,,,,,,"5,194,044","4,707,933","4,587,606","4,507,801","4,190,099","4,093,491","4,155,108"
281,K348,,,,,,"2,873,602","2,791,821","3,184,456","2,969,239","2,571,599","2,343,389","2,762,709"
282,K349,,,,,,"5,034,636","4,659,899","4,227,277","4,098,748","3,636,766","4,110,624","4,149,104"
283,K350,,,,,,"2,750,952","3,077,515","3,252,979","3,135,226","3,197,345","2,941,423","2,493,746"
