School Campus,Arrested,Child in Crisis,Juvenile Report,Mitigated,PINS / Warrant,PINS Warrant,Summons,Total
PS 56 Norwood Heights(Bronx),,2.0,,,,,,2.0
PS 57(Bronx),,2.0,,,,,,2.0
PS 57(Manhattan),1.0,1.0,1.0,,,,,3.0
PS 59(Brooklyn),,,,1.0,,,,1.0
PS 6(Bronx),2.0,2.0,,,,,,4.0
PS 6(Staten Island),,2.0,,3.0,,,,5.0
PS 60(Bronx),2.0,,,,,,,2.0
PS 60(Staten Island),,1.0,,,,,,1.0
PS 63(Bronx),1.0,,1.0,1.0,,,,3.0
PS 63-William McKinley(Manhattan),,1.0,,,,,,1.0
PS 64(Bronx),1.0,,,,,,,1.0
PS 65(Bronx),,,1.0,,,,,1.0
PS 66 (BROOKLYN),,2.0,,,,,,2.0
PS 66 (Bronx),2.0,1.0,3.0,,,,,6.0
PS 66(Queens),,1.0,,,,,,1.0
PS 67(Bronx),,,2.0,1.0,,,,3.0
PS 67(Brooklyn),1.0,,,,,,,1.0
PS 7(Brooklyn),,2.0,,2.0,,,,4.0
PS 7(Manhattan),,2.0,,,,,,2.0
PS 70(Bronx),,6.0,,,,,,6.0
PS 71(Bronx),,1.0,,,,,,1.0
PS 72(Brooklyn),,2.0,1.0,7.0,,,,10.0
PS 73(Bronx),,,1.0,,,,,1.0
PS 75(Brooklyn),,,,1.0,,,,1.0
PS 75(Manhattan),,1.0,,,,,,1.0
PS 76(Manhattan),,,1.0,,,,,1.0
PS 78(SI),,,,2.0,,,,2.0
PS 79 Creston(Bronx),,2.0,,,,,,2.0
PS 79 HORAN SCHOOL(Manhattan),1.0,5.0,,,,,,6.0
PS 8(Bronx),,6.0,4.0,,,,,10.0
PS 8(Staten Island),2.0,,,,,,,2.0
PS 81(Bronx),1.0,,,,,,,1.0
PS 81(Brooklyn),,,,3.0,,,,3.0
PS 83(Bronx),,,7.0,,,,,7.0
PS 83(Manhattan),,1.0,,,,,,1.0
PS 84(Brooklyn),1.0,,2.0,5.0,,,,8.0
PS 84(Manhattan),1.0,1.0,,,,,,2.0
PS 85(Bronx),,2.0,,,,,,2.0
PS 86(Bronx),,2.0,,1.0,,,,3.0
PS 86(Queens),,4.0,,,,,,4.0
PS 87(Bronx),,1.0,,,,,,1.0
PS 88(Bronx),,2.0,,,,,,2.0
PS 9(Bronx),4.0,,,,,,,4.0
PS 90(Bronx),,1.0,1.0,,,,,2.0
PS 91(Bronx),,,,1.0,,,,1.0
PS 91(Brooklyn),,1.0,,,,,,1.0
PS 91(Queens),,1.0,,,,,,1.0
PS 92(Brooklyn),,,1.0,,,,,1.0
PS 92(Manhattan),1.0,,,1.0,,,,2.0
PS 93(Bronx),,,1.0,,,,,1.0
PS 93(Brooklyn),,1.0,,,,,,1.0
PS 94 Kings College School(Bronx),,3.0,,,,,,3.0
PS 95(Bronx),1.0,1.0,1.0,1.0,,,,4.0
PS 95(Brooklyn),1.0,,,,,,,1.0
PS 96(Manhattan),,,2.0,,,,,2.0
PS 97(Brooklyn),1.0,,,,,,,1.0
PS 98(Manhattan),,,,1.0,,,,1.0
PS 99(Brooklyn),,,,1.0,,,,1.0
PS 99(PBQS),,,,1.0,,,,1.0
PS/IS 194 (BRONX),1.0,,,,,,,1.0
PS/IS 208 (QUEENS),,,,2.0,,,,2.0
PS/IS 295 (QS),,2.0,,,,,,2.0
PS/IS 323(Brooklyn),,1.0,1.0,3.0,,,,5.0
PS/IS 35(Brooklyn),,2.0,,,,,,2.0
PS/IS 89(Manhattan),,,1.0,,,,,1.0
PS/MS  194(Bronx),,2.0,,,,,,2.0
PS/MS 75(Bronx),1.0,,,,,,,1.0
PULSE (PROVIDING URBAN LEARNERS SUCCESS IN EDUCATION)(XW),2.0,,,1.0,,,,3.0
Pan American International HS@Monroe(XE),1.0,,,,,,,1.0
Park Place Academy(old Belmont Academy Bklyn Susp. Site)(BN),,1.0,,1.0,,,,2.0
Park Slope Collegiate(Old Secondary School for Research)(BS),1.0,,,1.0,,,1.0,3.0
Passages Academy at Belmont(BN),2.0,1.0,,,,,,3.0
Pathways in Technology Early College HS(P-Tech)(BN),,,,7.0,,,2.0,9.0
Pelham Lab High School (XE),,,,,,,1.0,1.0
Performing Arts & Technology HS(PATHS)(BN) ,,1.0,,2.0,,,1.0,4.0
Preparatory Academy for Writers(QS),1.0,,,1.0,,,,2.0
Professional Pathways High School,1.0,,,,,,,1.0
QUEENS ACADEMY HS(Queens) ,3.0,,,,,,,3.0
QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL(Queens) ,,1.0,,,,,,1.0
"QUEENS HS OF TEACHING,LIBERAL ARTS & THE SCIENCES(Queens)",1.0,,,4.0,,,1.0,6.0
QUEENS PREPARATORY ACADEMY(Queens),,1.0,,2.0,,,,3.0
QUEENS SATELLITE ACADEMY HS(QUEENS),1.0,,,,,,,1.0
QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL(Queens) ,2.0,,1.0,,1.0,,,4.0
Queens Academy HS(Jamaica Campus),1.0,,,5.0,,,,6.0
Queens Collegiate:A College Board School(Queens),,,,1.0,,,,1.0
Queens Suspension Center(Queens),1.0,,,,,,1.0,2.0
Queens United Middle School(QS),,1.0,,,,,,1.0
Quest to Learn(MS),1.0,,1.0,,,,,2.0
RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES(Brooklyn) ,4.0,,2.0,,,,4.0,10.0
RALPH R.  MCKEE CAREER AND TECHNICAL EDUCATION  HS(Staten Island),2.0,,2.0,4.0,,,1.0,9.0
RENAISSANCE HIGH SCHOOL OF MUSICAL THEATER AND TECHNOLOGY(Bronx) ,,,1.0,,,,5.0,6.0
RICHARD R. GREEN HIGH SCHOOL OF TEACHING(MS) ,3.0,0.0,,,,,1.0,4.0
RICHMOND HILL HS(QS),8.0,2.0,4.0,8.0,1.0,,11.0,34.0
RIVERDALE/KINGSBRIDGE ACADEMY (MS/HS 141)(Bronx),,,1.0,,,,,1.0
ROBERT F. KENNEDY COMMUNITY HS(Queens) ,4.0,,,,,,1.0,5.0
"ROBERT F.WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY(Queens) ",,,1.0,,,,1.0,2.0
Renaissance School of the Arts(MN),2.0,,,,,,,2.0
Richard R. Green HS of Teaching(MS),1.0,,1.0,,,,,2.0
Richmond Hill HS Annex(QS),,,1.0,,,,1.0,2.0
Robert H. Goddard HS of Communication Arts & Technology(Queens),2.0,,1.0,1.0,,,,4.0
Rockaway Collegiate HS(QS),1.0,,,,,,,1.0
Rockaway Park HS for Environmental Sustainability(Queens),3.0,,1.0,,,,1.0,5.0
Ronald Edmonds Learning Center II(Brooklyn),,1.0,,,,,,1.0
SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION  HS(XW),3.0,1.0,1.0,,,,,5.0
SAMUEL J. TILDEN HS(Brooklyn),6.0,3.0,3.0,3.0,,,2.0,17.0
SATELLITE ACADEMY HS(Manhattan),,5.0,,,,,,5.0
SCHOOL FOR DEMOCRACY AND LEADERSHIP(Brooklyn) ,1.0,,,,,,,1.0
SCHOOL FOR EXCELLENCE(Bronx) ,1.0,2.0,,3.0,,,,6.0
SCHOOL FOR LEGAL STUDIES(Brooklyn) ,,0.0,1.0,6.0,,,2.0,9.0
SCHOOL OF CO-OP TECH. ED.(Manhattan),1.0,2.0,,,,,,3.0
SCHOOL OF THE FUTURE HS(Manhattan),,,1.0,2.0,,,1.0,4.0
SCIENCE SKILLS CENTER HS AT WATERS EDGE(Brooklyn) ,,1.0,1.0,6.0,,,,8.0
"SCIENCE,TECH., & RESEARCH EARLY COLLEGE HS@ERASMUS-STAR(Brooklyn) ",,,,,,,2.0,2.0
SECONDARY SCHOOL FOR JOURNALISM(Brooklyn),,,,1.0,,,,1.0
SECONDARY SCHOOL FOR LAW(Brooklyn) ,,,,3.0,,,1.0,4.0
SEWARD PARK GED(Manhattan),1.0,,,,,,,1.0
SEWARD PARK HS(Manhattan),3.0,,,,,,1.0,4.0
SHEEPSHEAD BAY HS(Brooklyn),6.0,,6.0,1.0,,,,13.0
SOUTH BRONX HS(Bronx),,1.0,,,,,,1.0
SOUTH BRONX PREPARATORY:A COLLEGE BOARD SCHOOL(Bronx) ,,,,1.0,,,,1.0
SOUTH BROOKLYN COMMUNITY HIGH SCHOOL(Brooklyn),1.0,1.0,,2.0,,,,4.0
SOUTH SHORE HS(BS) ,4.0,1.0,3.0,1.0,,,15.0,24.0
SPRINGFIELD GARDENS HS(Queens) ,3.0,3.0,,32.0,,,1.0,39.0
STATEN ISLAND TECHNICAL  HS(Staten Island),,6.0,,,,,,6.0
STEM Institute of Manhattan(MN),1.0,,,1.0,,,,2.0
STEVENSON ANNEX@SOUNDVIEW EDUCATIONAL CAMPUS(Bronx),,,,,,,1.0,1.0
STREET ACADEMY(Brooklyn),2.0,1.0,,7.0,,,3.0,13.0
STUYVESANT HS(Manhattan) ,2.0,6.0,,1.0,,,6.0,15.0
SUSAN E. WAGNER HS(Staten Island),7.0,12.0,7.0,20.0,2.0,,6.0,54.0
School for Global Leaders(Manhattan),,,1.0,,,,,1.0
School for Tourism and Hospitality(XE),1.0,1.0,,9.0,,,1.0,12.0
School of Diplomacy (Bronx),1.0,,1.0,1.0,,,,3.0
Second Opportunity School-SOS (Sankofa Academy)(Brooklyn),1.0,,3.0,,,,5.0,9.0
Skillman High School@P4(Queens),,1.0,,,,,,1.0
Soundview Educational Campus(Bronx),4.0,3.0,1.0,7.0,,,10.0,25.0
Special Music School(MN),,,,,,,1.0,1.0
Spring Creek Community School(BN),1.0,1.0,2.0,2.0,,,2.0,8.0
Staten Island School of Civic Leadership,,1.0,,1.0,,,,2.0
Success Academy Charter School - Bronx 1(XW),,1.0,,,,,,1.0
Success Academy Charter School - Harlem 2(MN),,4.0,,,,,,4.0
Success Academy Charter School - Harlem 4(MN),,3.0,,,,,,3.0
Success Academy Charter School - Rosedale NY 5,,5.0,1.0,,,,,6.0
Success Academy Charter School-Springfield Gardens-New York 6(QS),,1.0,2.0,1.0,,,,4.0
Success Academy Harlem Central(MN),,,,1.0,,,,1.0
Sunset Park HS(Brooklyn),6.0,1.0,,2.0,,,2.0,11.0
TEACHERS PREPARATORY HS(Brooklyn),9.0,4.0,1.0,,,,2.0,16.0
"TECHNOLOGY,ARTS,AND SCIENCES STUDIO(Manhattan) ",,1.0,,,,,,1.0
THE CELIA CRUZ BRONX HS OF MUSIC(Bronx) ,,1.0,,,,,,1.0
THE FACING HISTORY SCHOOL(Manhattan) ,,,,,,,1.0,1.0
THE HERITAGE SCHOOL(Manhattan),1.0,2.0,,1.0,,,,4.0
"THE MARIE CURIE HS FOR NURSING,MEDICINE & ALLIED HEALTH PROFESSIONS(Bronx) ",2.0,,,,,,1.0,3.0
THE METROPOLITAN HS(Bronx) ,,1.0,2.0,,,,1.0,4.0
"THE QUEENS COLLEGE SCHOOL FOR MATH,SCIENCE, AND TECHNOLOGY(IS/PS499)",,,,,,,1.0,1.0
THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE(Bronx),,1.0,,,,,,1.0
THE URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES(MLK Educational Campus),1.0,2.0,,,,,7.0,10.0
THE URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN(MS) ,1.0,,1.0,3.0,,,1.0,6.0
THE YOUNG SCHOLARS ACADEMY OF THE BRONX(Bronx)  ,2.0,,2.0,,,,,4.0
THEATRE ARTS PRODUCTION COMPANY SCHOOL(Bronx) ,,,2.0,1.0,,,,3.0
THEODORE ROOSEVELT HIGH SCHOOL(Bronx),3.0,1.0,3.0,,,,4.0,11.0
THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION  HS(Queens) ,8.0,,1.0,3.0,,,2.0,14.0
THOMAS JEFFERSON HS(Brooklyn),2.0,4.0,1.0,36.0,,,9.0,52.0
THURGOOD MARSHALL ACADEMY FOR LEARNING & CHANGE (Manhattan),3.0,,1.0,,,,2.0,6.0
TITO PUENTE EDUCATION COMPLEX(Manhattan),,2.0,,,,,,2.0
TOTTENVILLE HS(Staten Island) ,5.0,4.0,5.0,3.0,1.0,,4.0,22.0
TOWNSEND HARRIS HS(Queens),,1.0,,,,,,1.0
TRANSIT TECH CAREER & TECHNICAL EDUCATION HS(BROOKLYN) ,6.0,2.0,,21.0,,,6.0,35.0
The Bronx COMPASS High School (XE),,,,,,,1.0,1.0
The Brooklyn School for Math & Research(BN),,,1.0,1.0,,,,2.0
The Cinema School(Bronx),,0.0,,,,,,0.0
The College Academy(MN),1.0,,,,,,,1.0
"The HS for Enterprise, Business, & Technology(BN) ",,,,6.0,,,,6.0
The HS for Language & Diplomacy(Manhattan),,,1.0,,,,2.0,3.0
The HS of Fashion Industries(Manhattan),2.0,4.0,3.0,1.0,,,3.0,13.0
The Harbor View School (SI),,1.0,,,,,,1.0
The Metropolitan Soundview HS(XE),,1.0,1.0,,,,3.0,5.0
The New Visions Charter HS for Advanced Math and Science(XW),2.0,,,,,,,2.0
The New Visions Charter HS for the Humanities(XW),,,,1.0,,,,1.0
The Richard H. Hungerford School(Staten Island),1.0,,,,,,,1.0
The Riverview School(QN),,1.0,,,,,1.0,2.0
The Science & Medicine Middle School(Brooklyn),,,,2.0,,,,2.0
The Urban Assembly Bronx Academy of Letters(XW) ,1.0,,,,,,,1.0
The Urban Assembly School for Applied Math & Science(Bronx),,1.0,,,,,,1.0
The Urban Assembly School for Collaborative Healthcare(BN),,1.0,,4.0,,,,5.0
The Urban Assembly School for Emergency Management(MS),,,,,,,1.0,1.0
The Urban Assembly School for Global Commerce(MN),,,,2.0,,,,2.0
The Urban Assembly School for Green Careers(Manhattan),,1.0,2.0,,,,1.0,4.0
The Urban Assembly School for the Performing Arts (Manhattan),,1.0,1.0,,,,,2.0
UNIVERSITY HEIGHTS SECONDARY SCHOOL(Bronx),,1.0,,2.0,,,,3.0
UNIVERSITY NEIGHBORHOOD HS(Manhattan),1.0,,1.0,,,,1.0,3.0
URBAN ASSEMBLY HS OF MUSIC & ART AT WATER'S EDGE(Brooklyn),,,1.0,8.0,,,,9.0
URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS(Bronx),2.0,,,,,,3.0,5.0
URBAN ASSEMBLY SCHOOL FOR LAW & JUSTICE(Brooklyn),4.0,,,5.0,,,,9.0
Union Square Academy for Health Sciences(MS),1.0,,,,,,,1.0
Urban Action Academy(Brooklyn),,,1.0,,,,,1.0
Urban Assembly Gateway School for Technology(MS),,,,1.0,,,,1.0
Urban Assembly Institute of Math & Science for Young Women(Brooklyn),,1.0,1.0,3.0,,,2.0,7.0
Urban Assembly Maker Academy(MS),,,2.0,1.0,,,1.0,4.0
Urban Assembly New York Harbor School(MS),1.0,2.0,3.0,,,,1.0,7.0
Urban Assembly School for Criminal Justice (Bklyn),,1.0,,,,,,1.0
Urban Assembly School for Wildlife Conservation (Bronx),4.0,,3.0,,,,,7.0
Urban Institute of Mathematics (Bronx),,,,1.0,,,,1.0
Urban Science Academy(XW),2.0,,1.0,,,,,3.0
VALIDUS PREPARATORY ACADEMY:AN EXPEDITIONARY LEARNING SCHOOL(Bronx) ,5.0,1.0,,2.0,1.0,,1.0,10.0
VANGUARD HS(Manhattan) ,1.0,,,,,,,1.0
Van Nest Academy(Bronx),,,1.0,,,,,1.0
Veritas Academy(QN),1.0,,,,,,,1.0
Victory Collegiate HS (BS),,,,,,,1.0,1.0
W.E.B. DU BOIS YABC(Brooklyn),2.0,2.0,,1.0,,,,5.0
W.E.B. DUBOIS ACADEMIC HS(Brooklyn),2.0,1.0,2.0,,1.0,,,6.0
WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS(Manhattan) ,4.0,,4.0,1.0,,,2.0,11.0
WALTON HS(Bronx),5.0,8.0,4.0,2.0,,1.0,6.0,26.0
WASHINGTON IRVING HS(Manhattan) ,1.0,1.0,3.0,1.0,,,7.0,13.0
WEST BRONX ACADEMY FOR THE FUTURE(Bronx),1.0,,,1.0,,,,2.0
WEST SIDE HS(Manhattan) ,1.0,1.0,,,,,,2.0
WILDCAT HS(Bronx),1.0,,,,,,,1.0
WILLIAM CULLEN  BRYANT HS(Queens),3.0,2.0,,,,,1.0,6.0
WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION  HS(Brooklyn) ,2.0,1.0,,,1.0,,2.0,6.0
WILLIAM H. MAXWELL CAREER & TECHNICAL EDUCATION HS(Brooklyn),,,3.0,30.0,1.0,,2.0,36.0
WILLIAM H. TAFT HIGH SCHOOL(Bronx),5.0,1.0,3.0,3.0,,,3.0,15.0
WILLIAMSBURG HS FOR ARCHITECTURE & DESIGN(Brooklyn) ,1.0,,1.0,,,,,2.0
WILLIAMSBURG PREPARATORY SCHOOL(Brooklyn) ,,1.0,,3.0,,,1.0,5.0
WINGS ACADEMY(Bronx),4.0,,3.0,4.0,1.0,,3.0,15.0
Washington Heights Academy (Manhattan),,1.0,,,,,,1.0
Washington Heights Expeditionary Learning School(Manhattan),3.0,2.0,,,,,,5.0
Washington Irving YABC(Manhattan),,,,,,,1.0,1.0
West Brooklyn Community HS(Brooklyn),,,,,,,1.0,1.0
West Prep Academy(Manhattan),,,2.0,,,,,2.0
Westchester Square Academy (XE),2.0,,,,,,,2.0
YALA MANHATTAN LEARNING CENTER(Manhattan),2.0,,,,,,1.0,3.0
YOUNG WOMEN LEADERSHIP SCHOOL QUEENS CAMPUS(Queens),,,1.0,,,,,1.0
YOUNG WOMEN LEADERSHIP SCHOOL/MANHATTAN CAMPUS(Manhattan),,1.0,,,,,,1.0
Young Women Leadership School of Brooklyn,,,,,,,7.0,7.0
