School Campus,Arrested,Child in Crisis,Juvenile Report,Mitigated,PINS / Warrant,PINS Warrant,Summons,Total
CHRISTOPHER COLUMBUS HS(XE) ,6.0,0.0,,15.0,,,7.0,28.0
CITY AS SCHOOL HS (MS),3.0,1.0,,,,,,4.0
CITY COLLEGE ACADEMY OF THE ARTS(MN) ,1.0,,,,,,,1.0
CLARA BARTON HS(BS) ,9.0,4.0,5.0,5.0,,,4.0,27.0
COALITION SCHOOL FOR SOCIAL CHANGE(MN) ,2.0,,,,,,,2.0
COBBLE HILL SCHOOL OF AMERICAN STUDIES(BS) ,10.0,,1.0,8.0,,,1.0,20.0
COLLEGIATE INSTITUTE FOR MATH & SCIENCE(XE) ,2.0,,,,,,1.0,3.0
COMMUNITY SCHOOL FOR SOCIAL JUSTICE(XW) ,2.0,,,,,,4.0,6.0
CONCORD HS(SI) ,1.0,,,,,,,1.0
CROTONA ACADEMY HS(XW),,1.0,,,,,1.0,2.0
CSE 8 (BRONX),1.0,,,,,,,1.0
CURTIS HS(SI) ,13.0,,,11.0,,1.0,9.0,34.0
Cambria Heights Academy(QS),,0.0,,2.0,,,,2.0
City Polytechnic HS of Engineering Architecture & Technology(BN),1.0,,1.0,2.0,,,2.0,6.0
Civic Leadership Academy(QN),,,,1.0,,,,1.0
Collaborative Arts Middle School(QS),,,1.0,2.0,,,,3.0
Community Health Academy of the Heights(MN),,1.0,1.0,,,,,2.0
Community Voices Middle School(QS),,,1.0,2.0,,,,3.0
Comprehensive Model School Project MS 327(XW),,,1.0,,,,,1.0
Cornerstone Academy for Social Action Middle School CASA(XE),3.0,,,3.0,,,,6.0
Corona Arts & Sciences Academy(QN),,1.0,,,,,,1.0
Crotona Academy HS(XE),,1.0,,,,,,1.0
Crotona International HS(XW),7.0,,2.0,,,,,9.0
Cypress Hills Collegiate Preparatory School(BN),,,,1.0,,,,1.0
DEWITT CLINTON HS(XW) ,13.0,2.0,7.0,3.0,,,14.0,39.0
DISCOVERY HS(XW),,,3.0,2.0,,,1.0,6.0
DISTRICT 6 OFFICE (MN),2.0,,,,,,,2.0
DR.SUSAN MCKINNEY SECONDARY SCHOOL OF THE ARTS(BN) ,1.0,4.0,,1.0,,,,6.0
EAGLE ACADEMY FOR YOUNG MEN(XW),4.0,,4.0,,,,2.0,10.0
EAST BRONX ACADEMY FOR THE FUTURE(XE),7.0,1.0,5.0,6.0,,,,19.0
EAST SIDE COMMUNITY HS(MS) ,3.0,,,,,,,3.0
EBC HS FOR PUBLIC SERVICE BUSHWICK(BN) ,,1.0,,3.0,,,2.0,6.0
EBC/ENY HS FOR PUBLIC SAFETY & LAW(BN)  ,1.0,,,1.0,,,2.0,4.0
EDWARD R MURROW HS GED(BS) ,,1.0,1.0,,,,,2.0
EDWARD R MURROW HS(BS) ,8.0,2.0,3.0,1.0,,,7.0,21.0
ELEANOR ROOSEVELT HS(MN),,,,,,,1.0,1.0
EPIC High School - South (QS),1.0,,,,,,,1.0
ERASMUS CAMPUS BUSINESS TEC(BS) ,4.0,1.0,2.0,,,,2.0,9.0
ERASMUS HALL HS(BS) ,4.0,1.0,3.0,,,,1.0,9.0
EVANDER CHILDS EVENING HS(XE),1.0,1.0,,,,,,2.0
EVANDER CHILDS HS GED(XE) ,,,,,,,1.0,1.0
EVANDER CHILDS HS(XE) ,5.0,5.0,16.0,3.0,1.0,,20.0,50.0
EXCELSIOR PREPARATORY HS(QS) ,1.0,,,7.0,,,2.0,10.0
EXIMIUS COLLEGE PREPARATORY ACADEMY(XE),1.0,,,1.0,,,,2.0
EXPLORATIONS ACADEMY(XE),,,,1.0,,,,1.0
Eagle Academy for Young Men II(BN),2.0,1.0,,2.0,,,,5.0
Eagle Academy for Young Men III(QS),1.0,1.0,,11.0,,,,13.0
Eagle Academy for Young Men of Harlem(MN),,,,2.0,,,,2.0
East Brooklyn Community HS(BS),2.0,,,1.0,,,,3.0
East West School of International Studies(QN),3.0,1.0,,,,,,4.0
Emma Lazarus HS(MS),,,,,,,1.0,1.0
Emolior Academy(XW),,,3.0,,,,,3.0
English Language Learners & International Support Preparatory Academy(XW),,,,2.0,,,,2.0
Entrada Academy(XE),,,,3.0,,,,3.0
Esperanza Preparatory Academy(MN),4.0,,1.0,,,,,5.0
Essex Street Academy(MS) ,,1.0,,,,,,1.0
Evergreen Middle School for Urban Exploration(BN),,1.0,,1.0,,,,2.0
FANNIE LOU HAMER MIDDLE SCHOOL(XE),,,2.0,,,,1.0,3.0
FANNIE LOU HAMMER FREEDOM HS(XE) ,2.0,1.0,1.0,,1.0,,3.0,8.0
FAR ROCKAWAY HS(QS) ,4.0,,1.0,4.0,,,9.0,18.0
FDNY HS FOR FIRE & LIFE SAFETY(BN),1.0,,,,,,2.0,3.0
FELISA RINCON DE GAUTIER INSTITUTE FOR LAW & PUBLIC POLICY(XE),5.0,,2.0,,,,,7.0
FIORELLO H LAGUARDIA HS OF MUSIC ART & PERFORMING ARTS(MN),1.0,2.0,2.0,,,,,5.0
FLUSHING HS(QN),4.0,0.0,1.0,,,,,5.0
FORDHAM HS FOR THE ARTS(XW),,,,1.0,,,,1.0
FORDHAM LEADERSHIP ACADEMY FOR BUSINESS & TECHNOLOGY(XW) ,1.0,,2.0,1.0,,,,4.0
FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES FLAGS HS(XW) ,,,1.0,,,,,1.0
FOREST HILLS HS(QN),10.0,2.0,1.0,10.0,,,,23.0
FORT HAMILTON HS(BS) ,8.0,,3.0,7.0,,1.0,6.0,25.0
FOUNDATIONS ACADEMY(BN) ,,1.0,,,,,,1.0
FRANCIS LEWIS HS(QN) ,10.0,,2.0,,,,1.0,13.0
FRANK SINATRA SCHOOL OF THE ARTS HS(QN) ,,1.0,,,,,1.0,2.0
FRANKLIN DELANO ROOSEVELT HS(BS) ,7.0,3.0,,1.0,,,2.0,13.0
FRANKLIN K LANE HS(BN),1.0,1.0,2.0,24.0,1.0,,3.0,32.0
FREDERICK DOUGLASS ACADEMY I(MN) ,4.0,,3.0,3.0,,,,10.0
FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL(XE) ,4.0,,,1.0,,,,5.0
FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL(BN),,,,,,,1.0,1.0
FREDERICK DOUGLASS ACADEMY V MIDDLE SCHOOL(XW),1.0,,2.0,,,,,3.0
FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL(QS) ,,,,,,,1.0,1.0
FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL(BN),,1.0,,2.0,1.0,,,4.0
FREDERICK DOUGLASS ACADEMY VIII MIDDLE SCHOOL(BN),,,3.0,1.0,,,,4.0
